kjerne,klubb_stor,res_stor,ar_stor,klubb_liten,res_liten,ar_liten,felles_utovere,overlappende_ar,id_stor,id_liten
torvikbukt,Torvikbukt IL,416,1987–2025,Torvikbukt Idrettslag,98,2013–2026,11,ja,6c08db7f-db00-4dac-8c06-31b4741a5305,fdb1e07a-cf41-4e4a-a5db-a0bf1b6d9db0
minerva,IF Minerva,1151,1966–2011,TIF Minerva,93,1954–1985,11,ja,0084e4eb-c759-44a5-a77b-64744521b04e,a200684c-363a-4a25-8c61-24acbde2985a
sola,Sola Friidrettsklubb,4552,1974–2026,Sola IL,58,1968–2005,11,ja,aa5dc2e7-658f-4379-a1b7-293e228283df,c27d82cf-d372-430f-ad54-470734fa84aa
snøgg,Snøgg Friidrett,10215,1932–2026,SK Snøgg,45,1948–2013,10,ja,76f6743c-2b9c-4369-9205-f6d5f8a3de67,0b1e8fe5-3a77-4130-b30b-6b46283ef9ea
grane,Idrettsklubben Grane,7960,1952–2026,IK Grane,69,1931–2012,9,ja,bd63982a-2e60-41fc-bca9-cc7cd3e710ad,3b584a75-8235-42eb-a3de-9f945d70f870
jotun,Jotun IL,2316,1957–2026,IL Jotun,69,1952–1993,9,ja,6d54a445-37b4-44ea-9e45-db89d55a89af,b8150a9a-81c8-43e7-880a-99ce4dfa2f07
nidelv,IL Nidelv,2481,1960–2026,Nidelv IL,62,1961–2013,9,ja,d77eebbf-7ab1-4112-a3a2-6caedac97a11,da90dd14-0d3a-480e-b152-96263db24d0c
sørfjell,IL Sørfjell,53,1971–2006,Sørfjell IL,48,1971–2025,8,ja,2f062f38-6830-40ae-8c2f-a0c771ab8141,b3699f27-dbd0-4b50-a44c-340084b6e525
ask,Ask Friidrett,21387,1953–2026,Ask IL,37,1958–1999,8,ja,ee65b5f1-e70a-4ad4-90cb-12635fb3aba4,29945381-b29f-40ba-826a-ca297023bcb2
stovnerkameratene,Stovnerkameratene,2107,1977–2026,IL Stovnerkameratene,62,1974–1990,7,ja,68a0c1a5-b740-4953-b5c5-7fbd8e8eb03d,70abcf69-ac5c-4047-99ec-35737b31fe73
løten,Løten Friidrett,6385,1966–2026,Løten IL,52,1967–2010,7,ja,a489e365-5bf6-42d0-bc34-e1338d25c1d2,e7896539-e1fe-4bc1-8fed-1957dd5a3ddd
mosjøen,Mosjøen Friidrettsklubb,1127,1960–2026,Mosjøen IL,30,1959–1984,7,ja,1ffd78f0-d19a-418b-af82-960d7ce40612,7af9a182-dc3f-4147-8e06-54bfd3a7cbfe
yrjar,Yrjar IL,366,1959–2026,IL Yrjar,28,1936–2001,7,ja,350c0f11-dc49-48cd-adb7-1676d4e8c809,35058414-1c7c-4d16-8c70-d48649b50370
skarphedin,Skarphedin IL,2611,1978–2026,IL Skarphedin,19,1954–2013,7,ja,76dd8d5f-4122-4e72-9d30-0632ab1d5f63,d87e45a9-24eb-4585-ae03-2f3084410d02
storsteinnes,Storsteinnes IL Friidrett,44,1981–2024,Storsteinnes IL,15,1981–1989,7,ja,bc66b505-a3f5-4272-8a22-f36f9b67b059,0100a977-2cb3-4348-a6da-ac8aa5f30fd8
sunndal,Sunndal IL Friidrett,1199,1966–2026,Sunndal IL,30,1967–1999,6,ja,efba5b9a-36c8-46c8-90b3-7a0d75c98229,779d230d-e0f2-4437-aa7f-5fd82eb0f840
verdal,Verdal Friidrettsklubb,5765,1983–2026,Verdal IL,28,1926–2021,6,ja,cbf23941-a797-40dc-89b1-ccad41dc51a2,a5ad71c5-857d-46a6-af3c-9c3bc77c2dcf
tvedestrand,Tvedestrand Turn & IF,2825,1966–2026,Tvedestrand TIF,26,1969–2005,6,ja,355e66fa-12e9-4067-9916-e683b3922f11,b365dbb0-10d1-4c09-bcda-696e8c681a16
heimdal,Heimdal IF,205,1958–2006,Heimdal IL,55,1955–2024,5,ja,582b69fa-7dad-4be0-b2fa-1a64a9385c96,cb8bac6e-7750-480f-8c20-2a30783e2792
kamp vestheim,IF Kamp-Vestheim,183,1956–2026,Kamp/Vestheim IF,53,2018–2026,5,ja,27b65f0a-4fea-4c7f-9e9c-079656ada0cf,84e4dc41-f363-4a58-9fdf-7b426f436965
gausdal,Gausdal FIK,5361,1971–2026,Gausdal IL,52,1971–1993,5,ja,0d2e74b8-c175-480f-91b4-a6ca814f15c0,c989887e-aa6a-4cce-94ce-38d8284e6704
larvik,Larvik Turn & IF,18068,1949–2026,Larvik FIK,44,1984–2014,5,ja,e6085993-c5c7-48d6-8635-88ff9c5c41bb,b67a9354-3cb7-4191-80fc-e53a8d7a1685
ulvungen,IL Ulvungen,73,1934–2026,Ulvungen IL,43,1996–2025,5,ja,409f8108-2fdd-41ad-ab9d-5281a9eae2e3,4f5489e6-a9ad-4926-a358-2ba247d7550e
horten,Horten Friidrettsklubb,2801,1977–2026,Horten IF,14,1974–1999,5,ja,db0ebcab-83bb-460b-882b-d4c42e64875c,edc7d08b-e42a-4c04-94ce-5e882bca2690
austevoll,Austevoll IK Friidrett,2938,1990–2026,Austevoll IK,10,1990–2000,5,ja,3a72af81-4c5a-4292-b611-0fdcdf10c7e1,c0cdc5c9-eecd-42d0-a221-e9b00fe7e799
minerva,IF Minerva,1151,1966–2011,Minerva Friidrett,168,1995–2014,4,ja,0084e4eb-c759-44a5-a77b-64744521b04e,492e8b5e-3984-40c8-9844-0a7f3b1fb966
mogutten,Mogutten IL,56,1967–2015,IL Mogutten,36,1969–2009,4,ja,9cbf3242-f6ee-452e-865d-018c50846b47,723c581d-932a-402e-92f5-400f632444b4
leksvik,Leksvik IL,112,1960–2025,Leksvik Il,31,2013–2025,4,ja,c0351746-74ef-4ed1-9ad0-46ee7a262d37,f50a6b3b-ee8f-41b7-b5e0-aede6d297143
velledalen,Velledalen IL,74,2011–2025,Velledalen Idrettslag,7,2012–2026,4,ja,27533281-c90a-403e-8d08-b9595cebc5f5,2d9509b4-80b2-43e2-998a-6563ad81caa3
namdalseid,Namdalseid,645,1969–2025,Namdalseid IL,37,1983–2005,3,ja,5e4f97d2-d04b-421e-937c-be09d3f956e4,1ab1cea9-551f-4c7e-9ae3-c968bb8be20b
kragerø,Kragerø IF Friidrett,1348,1972–2026,Kragerø IF,20,1955–1985,3,ja,96ec927a-f420-4f57-857e-c426a7c5ce77,fdee8595-c6c4-4145-b53b-c4990cb96f1b
valder,Valder IL,2438,1977–2026,IL Valder,16,1977–1999,3,ja,c792399a-c2b3-4e9e-8da3-450d182f2840,096cc242-2912-47b0-aa23-151748927e1b
varegg,Varegg IL,4015,1961–2026,IL Varegg,12,1961–2010,3,ja,ff6c4db6-e0f8-4120-9f00-6ef6692829e6,dbe8b54a-77b2-439c-97cc-207b0a343fa6
tambarskjelvar,Tambarskjelvar IL,375,1956–2026,IL Tambarskjelvar,11,1954–1994,3,ja,d57c3339-eaa8-4e17-81ad-e8bde0043859,75370a79-07b9-4506-95cc-ae69cc539650
fri kameratene,Fri Kameratene,107,1975–2012,IL Fri-Kameratene,11,1975–1982,3,ja,3659be4a-5ffb-4f8d-9f35-10b09ea8119f,73a2884e-89f5-4e90-b402-5a6b244ae126
trondheim,Trondheim Friidrett,6688,1992–2026,Trondheim FIK,7,2000–2011,3,ja,c5c00afa-a62f-4f62-819c-d545ffc5b183,29461058-a1eb-4734-8fd8-b5fa8b4b1a50
jerven,Jerven FIK,10,1961–1991,FIK Jerven,7,1958–1966,3,ja,87aa938e-dd93-4e1c-8c4d-746f99476752,bc52125a-639e-4650-b14d-1244cc468daf
vadsø,Vadsø Turnforening,1565,2011–2025,Vadsø Atletklubb,128,2016–2019,2,ja,88f0c3ff-3fa3-4653-b168-d033a028f233,c5b5914e-ecf2-4cb5-8815-36e36ca3a1b4
rena,Rena IL Friidrett,158,1978–2026,Rena IL,26,1973–1993,2,ja,81ac25a8-1c18-44d9-b5d4-58cf8324ba7e,9a466b6f-d80a-460e-9e10-46dbb0cb4e1b
ivrig,Ivrig,107,1971–2026,IL Ivrig,18,1970–1999,2,ja,69dae576-45b8-4ce5-8304-b522d62e8a0b,acdeae82-91c1-43e9-adbe-52e82186c451
sokna,Sokna IF,14,1970–1983,Sokna IL,12,1972–2023,2,ja,99f3ba74-4e2a-4a04-86dc-986e145a033e,d4b5dc42-bc01-47f1-8b30-559bab4ce1cf
sortland,Sortland Friidrettsklubb,8813,1967–2026,Sortland IL,9,1961–1976,2,ja,7431c5f2-4c52-42fb-822b-c8b315ffcef3,ab3271e8-77a9-4e5b-8b2d-4c81f7070718
bjarg,IL Bjarg,4400,1980–2026,Bjarg IL,9,2006–2008,2,ja,2f97a93f-818e-40ec-9506-d79caba40cfa,1cf564e4-fed2-43ba-93a2-8f50b9181dc1
hamar,Hamar IL,8565,1927–2026,Hamar Skiklubb,8,2012–2020,2,ja,68aaf45e-90a5-4739-81e4-bb1425de8634,64a04b4d-1282-4280-bcef-7fd409a72dae
imås,Imås IL,15,1976–2017,IL Imås,6,1966–1984,2,ja,814891c9-7b0e-4132-ac5a-5ab1cafdd659,c8e10e3d-e8bb-4dc0-9f69-a2087cd958c7
stein,Stein FIK,2596,1961–2026,FIK Stein,4,2000–2010,2,ja,826dd95f-fc3c-4f5e-a89a-01514f01cec0,b9d954f2-1622-4e1e-8b18-dc398b8f17b1
lunner,Lunner IL,31,1952–1982,Lunner IF,4,1975–1980,2,ja,3e6a68b9-a779-4f6c-9158-b9a5bda08298,3d632e82-b6e4-481a-98f3-bc6faa064370
junkeren,IK Junkeren,28,1978–2024,IL Junkeren,4,1978–1980,2,ja,40de7f0c-4913-4237-b7bd-0df3da1f6587,20e472ed-b410-4729-b86b-5ac1b58f7492
flekkefjord,Flekkefjord IF,645,1969–2024,Flekkefjord IL,3,1990–1994,2,ja,8416bedc-9251-4a7d-8689-c7e9ae6e062b,8bbd8184-a781-41f9-a821-0561f255b73e
ullensaker sørum,Ullensaker-Sørum IL,15,1987–1993,Ullensaker-Sørum FIK,3,1990–1991,2,ja,7fcd055d-5b9a-4822-8dc9-208e65583415,575010fa-fe4f-4a9e-ab9f-552b100a1717
orion,FIK Orion,13708,1986–2026,Orion FIK,2,1994–1996,2,ja,e7b9a197-4a76-4249-a061-d505fb4d5374,19cc0715-20a3-4448-9d26-8ad78e25195b
hamar,Hamar IL,8565,1927–2026,Hamar Friidrett,2,2016–2018,2,ja,68aaf45e-90a5-4739-81e4-bb1425de8634,4ff9b6f9-5e2d-4f13-9abc-c1e62e34ab81
vollan,Vollan Idrettsklubb,1765,2007–2026,Vollan IK,2,1985–2005,2,nei,9841498b-b39e-42b9-8912-f6c50a435f22,26b803b4-ad8b-4f82-a3cc-c017e6ec0377
oslo politis,Oslo Politis IL,531,1930–2026,Oslo Politis Idrettslag,2,2012–2012,2,ja,d01d5372-e5bf-435f-be40-aca20db147c5,0b873525-d1f5-468b-9d14-85df032d1751
ørnar,Ørnar,9,1974–2026,Idrettslaget Ørnar,2,2016–2023,2,ja,eb6c398c-416e-4060-8284-d02e85bcbb11,b2ba0541-5f48-4640-99f0-9a9a4f74912e
gol,Gol IL,9,1974–2020,Gol Idrettslag,2,2019–2020,2,ja,23fb9e10-f516-49f8-b8ed-0fe32955a6b2,d1ae2b3f-6e3c-4144-95fc-1572a8d2d20f
oslo studentenes,Oslo-Studentenes IL,40,1950–1992,Oslo-Studentenes IK,19,1992–2011,1,ja,27ef3a43-edc4-4b4c-88e3-68f3098da9ef,a07810aa-95d9-4db4-a044-87497f1d83be
eidsvold,Eidsvold Turnforening,227,1971–2025,Eidsvold IF,14,1958–2022,1,ja,6ed918e8-02d4-4ddd-b8e2-98897d391630,af4598d4-d536-4fa7-944a-c8b54cf58f2f
mjøndalen,Mjøndalen IF,24,1963–1985,Mjøndalen IL,14,1964–2022,1,ja,891149cc-064d-4587-8c01-7d9af7acfd26,ff651423-3b17-4b07-993e-a285271d6a8c
trysilgutten,Trysilgutten,1282,1955–2024,IL Trysilgutten,13,1959–1986,1,ja,c315ed14-4503-4932-98df-29120a11e213,7d72eda6-0743-4582-b2a6-e1350379ec16
skade,Idrettslaget Skade,81,1978–2026,IL Skade,13,1966–1998,1,ja,c7d41db7-f556-420c-9b89-ecca0ada3305,99f3b408-d656-41c4-b160-6598d635c50d
svint,Svint IL,206,1982–2024,IL Svint,12,1954–1984,1,ja,b3321dc5-27b1-408a-9dc3-3a4f8f72d93a,ee85c185-d328-462c-84bb-1d96595ccffc
ilar,Idrettslaget Ilar,863,2006–2026,IL Ilar,9,2002–2008,1,ja,6964b797-cd21-4f5a-ac4b-d44515f89bb9,84885b2b-24a9-4b80-bf0f-7ed1b13621e3
halden,Halden IL,10161,1931–2026,Halden Skiklubb,8,2014–2024,1,ja,f13c704a-c200-4f7a-bdfa-410e62661be8,3589686d-e265-4756-a4a4-23898fa9cd18
molde olymp,IL Molde-Olymp,2649,1958–2026,Molde-Olymp,8,2007–2013,1,ja,4cd16acc-9250-453f-a4f3-2846ab88e54f,7255db3b-8485-4b87-9383-ec9f5339a535
lånke,Lånke IL Friidrett,2482,2010–2026,Lånke IL,8,1998–2013,1,ja,bad772d6-3b8f-4018-971d-2cd6c6ecbf7c,63433a47-1837-45a5-8c04-bd839718632e
skrautvål,Skrautvål IL friidrett,64,1994–2026,Skrautvål IL,8,1993–2006,1,ja,5c1974ee-68e6-4aac-945b-f2c6fa1cab71,aec64bad-9d5d-4fce-9666-369e9258e530
bevern,Bevern IL,17,1993–2016,IL Bevern,8,1985–2001,1,ja,2025c344-fcf6-461f-9cb7-b1f0fed7a502,3c5b3546-8441-4252-878a-e9f6c10a6d21
emblem,IL Emblem,12,1977–1983,Emblem IL,7,1977–1981,1,ja,ea72d40a-adb1-4ad5-9ced-556ec10bd238,8e02d9ee-4b1f-4412-8c31-f8790178cecb
sandnes,Sandnes IL,59032,1948–2026,Sandnes Atletklubb,6,1979–1979,1,ja,8a2bbf98-423c-451e-890a-e7ac855ef420,a79d816e-ae9a-4c37-be95-066bf525bb8f
driv,IL Driv Friidrett,159,1965–2026,IL Driv,6,1965–1995,1,ja,2683d084-eb22-4ab7-91b6-a973c7aeda2e,2d35921e-6f01-4598-ad13-6dd6f207ebc9
vind,Vind IL,81,1980–2024,IL Vind,5,1981–1983,1,ja,eb1a8942-5d5b-405d-9b40-581f278fb2ee,e741e2fe-dbd7-4045-9363-e4c8cb655d58
bryn,IL Bryn,34,1973–2018,Bryn IL,5,1972–1978,1,ja,3312ea09-a753-4760-aa4a-dd12106e6c22,853c9d9b-d332-451d-9d2c-8a35b4813375
ørnar,Ørnar,9,1974–2026,IL Ørnar,5,1969–1986,1,ja,eb6c398c-416e-4060-8284-d02e85bcbb11,bc25aec5-7b71-451f-b973-001ab9349a90
fredrikstad,Fredrikstad IF,36097,1936–2026,Fredrikstad Skiklubb,4,2018–2024,1,ja,2ec6a5fe-bf13-47e9-a659-7f59fedf9b3a,d3a2bf8f-82f1-4291-8da0-2e8f7fd458dc
rjukan,Rjukan Idrettslag,16448,1982–2026,Rjukan IF,4,1935–1990,1,ja,a5cb0255-b42d-4bfd-ada2-d41de3865458,2cfc1044-d27e-46ed-a3e4-337857ae6366
oppdal,Oppdal FIK,174,1979–2014,Oppdal IL,4,1973–1980,1,ja,b5b7374c-4edc-4348-af83-8c61c31fac8b,9d56a0ad-9183-4daf-95be-c5247714a159
gjerstad,Gjerstad IL Friidrett,82,1949–2026,Gjerstad IL,4,1950–1976,1,ja,80c1e644-9182-47aa-99be-aa557690c547,ff4d37ce-63c3-42c4-bbea-c955d268261f
siggerud,Siggerud IL,6,1973–1984,Siggerud,4,1977–2011,1,ja,8d307ebe-c169-416b-ae47-4fcd7619bcb1,df5e4b14-cf1a-421b-be19-543c9073d294
nøtterøy,Nøtterøy Idrettsforening,1887,1973–2026,Nøtterøy IL,3,1976–1977,1,ja,44a1a271-9b2c-417c-bcbf-e88dc1c69cba,aca1f0f3-2c3c-4466-9911-3a9aa1fa147e
brodd,Brodd IL,1870,1971–2026,IL Brodd,3,1974–2003,1,ja,1a40529d-99f1-463a-aa6e-9c63109392a6,3e630848-e096-431b-803b-c244ad2e9565
bjørndal,Bjørndal IL,22,2010–2018,Bjørndal IF,3,2009–2010,1,ja,eb45bfa7-0ea7-4355-ba9f-50c67a6ce692,48e0eefc-024c-4689-a968-e8849e7012ed
skoger,Skoger Turn,6,2018–2019,Skoger Idrettslag,3,2018–2018,1,ja,907e5b66-5914-413a-bee2-748023c964b9,e1d31778-c37d-4c5e-9317-dbbd9e1b3dd6
skarp,Skarp IF,7,1937–2012,IF Skarp,3,1930–1940,1,ja,b6a67405-35ea-40a3-9306-fe48a9189634,ef86e087-825b-4e97-a757-e735d3b43090
nittedal,Nittedal IL,19124,1970–2026,Nittedal IF,2,1970–1978,1,ja,c9573459-2dd4-471b-82ab-cb5a1cd7db22,2cdb6afe-0dcc-4ad3-97be-47f3d6d69b13
ålesund,Ålesund Friidrettsklubb,13362,1988–2026,Ålesund IL,2,1981–2014,1,ja,69fa0d03-d5b9-4895-8cbf-c0184bffed9f,1252c0c5-0b8b-494a-a696-dae67d8f08ae
gjøvik,Gjøvik Friidrettsklubb,3429,1971–2026,Gjøvik Skiklubb,2,2017–2017,1,ja,bf977b5a-d1fb-492a-a6fc-de3b91f57b7d,da91f5a0-f343-443f-bba1-471af4d8dd1b
sigdal,Sigdal FIK,1580,1945–2026,Sigdal Skiklubb,2,1971–1982,1,ja,7417076f-aca8-45ff-8e4e-3a44ce621a77,941b4c0b-a6a3-4d00-a920-5d40c04d1c61
giv akt,IL Giv-Akt,796,1977–2026,IK Giv-Akt,2,1973–1985,1,ja,afe3b0bb-4ee3-4bf7-a1d5-3bdcf793ee53,046f23fc-a0db-4a00-bf0c-b1b2f8216715
giv akt,IL Giv-Akt,796,1977–2026,IF Giv-Akt,2,1980–1982,1,ja,afe3b0bb-4ee3-4bf7-a1d5-3bdcf793ee53,cf81e9c0-f554-461f-87fd-f223c59e0046
salangen,Salangen Friidrett,776,2011–2026,Salangen IL,2,2007–2007,1,nei,ccc0bd5a-6c73-4599-bbcf-d5f3f0002c12,f056a9b1-7718-448b-b885-7e399e53d598
ottestad,Ottestad IL,38,1938–2026,Ottestad IK,2,2015–2015,1,ja,77506af2-9742-4118-86b0-dde61d374492,7213fb4a-0fb8-4443-a7c0-cbeff4c32f56
junkeren,IK Junkeren,28,1978–2024,Junkeren IL,2,1979–1979,1,ja,40de7f0c-4913-4237-b7bd-0df3da1f6587,2cdc6b03-1658-4608-8169-abbad9c8e5eb
høybråten st,Høybråten & St. IL,26,1968–1995,Høybråten & St. IF,2,1967–1968,1,ja,48c1d869-3229-4ce6-a22e-63eeb745382f,f59b4922-2cb3-4532-82e5-b26898b01af4
studenternes,Studenternes IK,12,1926–2021,Studenternes IF,2,2020–2024,1,ja,bacf93bc-66bd-4933-9311-c1b0a7f51dbd,29e19c14-e919-4a08-8b50-77e385e93f9a
storforshei,Storforshei IL,11,1974–1983,Storforshei IF,2,1975–1977,1,ja,66b0322c-b74b-40d9-83f7-82979c7d50af,30e97e0f-9340-459c-b284-4e3280e9e90e
suldal,Suldal,10,2018–2026,Suldal IL,2,2025–2026,1,ja,328ad9a2-8961-49ba-a6c9-fb24fb7acbad,0e3d026d-e3ab-47a7-8a2b-4e6371e90c4b
nessegutten,Sportsklubben Nessegutten,6,1979–2024,SK Nessegutten,2,1978–1981,1,ja,aea987b6-d730-4637-9651-bbbe34ee2b45,811ed176-1714-4349-8b44-276e4545d5ad
odd,SK Odd,3,1954–1968,IF Odd,2,1953–1970,1,ja,3eaf9ad3-2992-441f-9ce5-488a8a1f04bc,3bc795bf-0a69-4e58-8369-d26584aa2b86
haugesund,Haugesund IL,41649,1929–2026,FK Haugesund,1,2024–2024,1,ja,802b30f1-9705-4581-89db-c6e8b0374eba,1ff1e468-3764-4303-8013-878773575404
tjalve,IK Tjalve,25075,1926–2026,IF Tjalve,1,1990–1990,1,ja,d38f1050-45c0-40a5-af81-4215edb599fe,135f1081-0305-4097-aaf7-caf2a74a0857
tjalve,IK Tjalve,25075,1926–2026,IL Tjalve,1,2010–2010,1,ja,d38f1050-45c0-40a5-af81-4215edb599fe,65f30bcd-619e-4000-8010-899c1fc8d827
ranheim,Ranheim Idrettslag,25012,1951–2026,Ranheim IF,1,1978–1978,1,ja,86bc6feb-bda7-49f6-bfd0-91dda244dbe3,58ff9dad-07d1-4d24-a83c-236926919c4d
rjukan,Rjukan Idrettslag,16448,1982–2026,Rjukan,1,2022–2022,1,ja,a5cb0255-b42d-4bfd-ada2-d41de3865458,274830ca-1b16-411f-812c-baadf666a5c7
snøgg,Snøgg Friidrett,10215,1932–2026,Snøgg,1,2007–2007,1,ja,76f6743c-2b9c-4369-9205-f6d5f8a3de67,5a6e7512-bf64-427b-83a6-255d1dd0adb1
hinna,Hinna IL,5831,1931–2026,Hinna friidrett,1,1980–1980,1,ja,d4b4f279-53a6-4783-b34f-fc779912ff56,8abfbf74-c2a8-4a60-b91d-64e88445a302
sola,Sola Friidrettsklubb,4552,1974–2026,Sola Friidrett,1,2011–2011,1,ja,aa5dc2e7-658f-4379-a1b7-293e228283df,7ffe62b7-f069-4b22-b979-ac46753e508d
drøbak frogn,Drøbak-Frogn IL Friidrett,3747,1947–2026,IL Drøbak-Frogn,1,1963–1963,1,ja,5ae379c6-b535-48a0-a5df-a56050851c50,c934a644-14ee-42eb-92cf-e0a5636b111b
molde olymp,IL Molde-Olymp,2649,1958–2026,IF Molde Olymp,1,2007–2007,1,ja,4cd16acc-9250-453f-a4f3-2846ab88e54f,5f807e43-56d8-42d6-99f7-47f19666fab3
vollan,Vollan Idrettsklubb,1765,2007–2026,Vollan IL,1,2016–2016,1,ja,9841498b-b39e-42b9-8912-f6c50a435f22,dfba90b9-a913-4b42-bb34-8a31af1e5456
sigdal,Sigdal FIK,1580,1945–2026,Sigdal SK,1,1969–1969,1,ja,7417076f-aca8-45ff-8e4e-3a44ce621a77,d99e79f8-40ef-4da2-b469-7cd3a866c8db
fjellhug vereide,Fjellhug/Vereide IL,1518,1968–2026,IL Fjellhug/Vereide,1,1982–1982,1,ja,e2cc9a04-67b7-4947-a30f-1f08b278d6f8,392d7dad-4f43-44ff-a74d-bd1ac01dc679
minerva,IF Minerva,1151,1966–2011,Minerva,1,1994–1994,1,ja,0084e4eb-c759-44a5-a77b-64744521b04e,f35b2fc7-68ae-4652-a8d1-6ad199d52a2f
bfg bergen,BFG Bergen,1032,2012–2025,BFG Bergen FIK,1,2013–2013,1,ja,71ff07e3-b4d1-4e32-b915-93a7bb01b449,13d739b2-540a-4116-ae53-8e9e8b6b4920
tønsberg kameratene,IF Tønsberg-Kameratene,115,1950–2024,Tønsberg-Kameratene,1,1981–1981,1,ja,ce062ee0-3932-4220-88f4-fda54166a89e,7dc1cd85-ed9e-464b-9721-d5cf64071924
ballangen,Ballangen Friidrett,111,1990–2024,Ballangen IL,1,1990–1990,1,ja,d33855bc-35ef-49b7-82a7-3fd7e0ae15bb,73b38238-87ca-4689-a360-00fcc2d99e77
