ovelse,kode,gruppe,yr,n,median,p90
200 m,200m,G13,2020,36,27.555,25.365
200 m,200m,G13,2021,44,28.44,26.742
200 m,200m,G13,2022,38,28.355,26.297
200 m,200m,G13,2023,36,29.25,26.905
200 m,200m,G13,2024,47,28.7,26.072
200 m,200m,G13,2025,43,28.96,26.362
200 m,200m,G14,2012,53,27.07,25.392
200 m,200m,G14,2013,42,26.975,25.628
200 m,200m,G14,2014,42,27.065,25.39
200 m,200m,G14,2015,49,26.95,25.104
200 m,200m,G14,2016,46,26.475,24.34
200 m,200m,G14,2017,53,26.95,25.078
200 m,200m,G14,2018,46,26.7,25.385
200 m,200m,G14,2019,50,26.995,25.394
200 m,200m,G14,2020,36,26.185,24.93
200 m,200m,G14,2021,55,26.44,24.67
200 m,200m,G14,2022,45,26.98,25.028
200 m,200m,G14,2023,41,26.38,24.75
200 m,200m,G14,2024,46,27.1,25.24
200 m,200m,G14,2025,40,26.955,24.694
200 m,200m,J13,2012,58,30.01,28.247
200 m,200m,J13,2013,62,30.395,28.909
200 m,200m,J13,2014,50,29.61,27.911
200 m,200m,J13,2015,66,30.365,28.56
200 m,200m,J13,2016,49,29.5,27.59
200 m,200m,J13,2017,48,29.495,28.083
200 m,200m,J13,2018,54,30.26,28.342
200 m,200m,J13,2019,64,30.005,28.766
200 m,200m,J13,2020,42,30.03,28.005
200 m,200m,J13,2021,53,30.44,28.61
200 m,200m,J13,2022,51,29.95,28.47
200 m,200m,J13,2023,43,30.35,27.948
200 m,200m,J13,2024,56,30.595,28.2
200 m,200m,J13,2025,59,30.08,28.086
200 m,200m,J14,2012,59,28.83,27.746
200 m,200m,J14,2013,49,28.97,26.948
200 m,200m,J14,2014,45,29.1,27.786
200 m,200m,J14,2015,50,29.15,27.669
200 m,200m,J14,2016,51,29.34,27.66
200 m,200m,J14,2017,57,29.32,27.054
200 m,200m,J14,2018,55,29.51,27.498
200 m,200m,J14,2019,57,30.01,28.212
200 m,200m,J14,2020,38,29.05,27.418
200 m,200m,J14,2021,35,28.75,27.106
200 m,200m,J14,2022,51,29.8,28.21
200 m,200m,J14,2023,51,29.32,27.54
200 m,200m,J14,2024,46,29.605,27.405
200 m,200m,J14,2025,53,30.58,27.414
600 m,600m,G13,2012,46,106.55,99.19
600 m,600m,G13,2013,48,108.49,99.029
600 m,600m,G13,2014,42,103.87,95.67
600 m,600m,G13,2015,37,106.95,99.204
600 m,600m,G13,2016,45,107.42,98.46
600 m,600m,G13,2017,40,104.375,97.26
600 m,600m,G13,2018,51,105.19,98.46
600 m,600m,G13,2019,49,106.17,98.828
600 m,600m,G13,2020,38,102.205,96.191
600 m,600m,G13,2021,55,104.37,95.928
600 m,600m,G13,2022,42,105.735,99.502
600 m,600m,G13,2023,34,106.955,96.816
600 m,600m,G13,2024,36,104.52,96.8
600 m,600m,G13,2025,29,107.78,97.048
600 m,600m,G14,2012,39,100.46,93.54
600 m,600m,G14,2013,56,99.54,93.63
600 m,600m,G14,2014,49,99.96,94.726
600 m,600m,G14,2015,41,98.1,91.7
600 m,600m,G14,2016,43,99.24,93.714
600 m,600m,G14,2017,45,98.88,94.046
600 m,600m,G14,2018,45,99.94,95.128
600 m,600m,G14,2019,57,99.85,94.078
600 m,600m,G14,2020,39,98.3,92.98
600 m,600m,G14,2021,52,97.925,91.685
600 m,600m,G14,2022,41,100.61,90.8
600 m,600m,G14,2023,42,98.72,94.791
600 m,600m,G14,2024,33,99.55,91.22
600 m,600m,G14,2025,39,101.12,90.926
600 m,600m,J13,2012,52,115.355,107.569
600 m,600m,J13,2013,41,113.48,106.97
600 m,600m,J13,2014,39,109.98,103.412
600 m,600m,J13,2015,47,111.64,104.96
600 m,600m,J13,2016,50,112.13,104.179
600 m,600m,J13,2017,41,109.86,103.27
600 m,600m,J13,2018,56,114.74,108.81
600 m,600m,J13,2019,43,112.28,104.054
600 m,600m,J13,2020,36,109.95,102.285
600 m,600m,J13,2021,31,109.9,105.03
600 m,600m,J13,2022,38,114.53,104.747
600 m,600m,J13,2023,37,114.99,105.264
600 m,600m,J13,2024,37,113.76,105.852
600 m,600m,J13,2025,44,118.185,103.267
600 m,600m,J14,2012,44,110.575,103.036
600 m,600m,J14,2013,41,110.23,104.31
600 m,600m,J14,2014,37,107.85,102.576
600 m,600m,J14,2015,35,107.01,101.464
600 m,600m,J14,2016,39,112.68,100.596
600 m,600m,J14,2017,40,106.945,100.122
600 m,600m,J14,2018,50,107.695,101.265
600 m,600m,J14,2019,30,108.39,101.741
600 m,600m,J14,2020,31,107.33,100.83
600 m,600m,J14,2021,36,107.29,97.87
600 m,600m,J14,2022,28,108.835,103.953
600 m,600m,J14,2023,34,109.89,102.687
600 m,600m,J14,2024,30,112.245,102.371
600 m,600m,J14,2025,42,112.04,101.269
1500 m,1500m,G13,2012,28,299.12,285.929
1500 m,1500m,G13,2013,27,316.96,297.054
1500 m,1500m,G13,2014,30,297.985,280.957
1500 m,1500m,G13,2015,31,305.8,287.56
1500 m,1500m,G13,2016,35,306.37,291.432
1500 m,1500m,G13,2017,31,301.37,284.6
1500 m,1500m,G13,2018,33,300.33,269.29
1500 m,1500m,G13,2019,36,311.8,284.055
1500 m,1500m,G13,2020,29,298.24,278.572
1500 m,1500m,G13,2021,37,296.74,281.202
1500 m,1500m,G13,2022,34,309.795,283.588
1500 m,1500m,G13,2023,30,309.8,287.6
1500 m,1500m,G13,2024,35,303.84,273.196
1500 m,1500m,G13,2025,19,319.57,
1500 m,1500m,G14,2012,31,294.57,275.24
1500 m,1500m,G14,2013,36,285.105,270.9
1500 m,1500m,G14,2014,37,296.05,272.668
1500 m,1500m,G14,2015,31,287.17,270.41
1500 m,1500m,G14,2016,33,292.43,268.816
1500 m,1500m,G14,2017,36,288.44,264.18
1500 m,1500m,G14,2018,37,291.37,275.426
1500 m,1500m,G14,2019,34,284.58,270.097
1500 m,1500m,G14,2020,31,286.55,273.49
1500 m,1500m,G14,2021,38,284.75,263.043
1500 m,1500m,G14,2022,39,290.9,262.686
1500 m,1500m,G14,2023,34,283.29,269.896
1500 m,1500m,G14,2024,29,289.28,266.142
1500 m,1500m,G14,2025,29,295.51,267.152
1500 m,1500m,J13,2012,30,331.525,307.298
1500 m,1500m,J13,2013,19,329.07,
1500 m,1500m,J13,2014,29,325.7,309.846
1500 m,1500m,J13,2015,26,328.295,302.67
1500 m,1500m,J13,2016,31,323.67,296.88
1500 m,1500m,J13,2017,30,313.415,304.528
1500 m,1500m,J13,2018,34,333.685,312.555
1500 m,1500m,J13,2019,33,335.08,307.488
1500 m,1500m,J13,2020,24,315.04,301.778
1500 m,1500m,J13,2021,25,326.17,309.622
1500 m,1500m,J13,2022,31,327.41,307.9
1500 m,1500m,J13,2023,16,331.265,
1500 m,1500m,J13,2024,27,319.29,296.988
1500 m,1500m,J13,2025,31,344.28,301.23
1500 m,1500m,J14,2012,26,328.67,296.975
1500 m,1500m,J14,2013,29,322.91,304.536
1500 m,1500m,J14,2014,28,322.01,293.769
1500 m,1500m,J14,2015,24,314.085,301.531
1500 m,1500m,J14,2016,27,325.91,291.882
1500 m,1500m,J14,2017,28,308.15,294.094
1500 m,1500m,J14,2018,35,314.68,287.632
1500 m,1500m,J14,2019,23,321.08,293.982
1500 m,1500m,J14,2020,25,313.08,292.32
1500 m,1500m,J14,2021,21,307.73,287.25
1500 m,1500m,J14,2022,29,328.83,307.672
1500 m,1500m,J14,2023,30,327.55,299.18
1500 m,1500m,J14,2024,25,331.94,295.3
1500 m,1500m,J14,2025,27,319.86,297.524
Lengde,lengde,G13,2012,0,,
Lengde,lengde,G13,2013,53,4.19,4.824
Lengde,lengde,G13,2014,35,4.48,4.986
Lengde,lengde,G13,2015,55,4.35,5.12
Lengde,lengde,G13,2016,41,4.38,5.12
Lengde,lengde,G13,2017,45,4.51,5.198
Lengde,lengde,G13,2018,54,4.245,5.164
Lengde,lengde,G13,2019,47,4.37,4.774
Lengde,lengde,G13,2020,33,4.25,5.064
Lengde,lengde,G13,2021,47,4.22,4.95
Lengde,lengde,G13,2022,37,4.42,5.206
Lengde,lengde,G13,2023,47,4.21,4.676
Lengde,lengde,G13,2024,40,4.41,5.086
Lengde,lengde,G13,2025,36,4.305,4.97
Lengde,lengde,G14,2012,48,4.855,5.343
Lengde,lengde,G14,2013,45,4.66,5.248
Lengde,lengde,G14,2014,44,4.735,5.371
Lengde,lengde,G14,2015,51,4.56,5.18
Lengde,lengde,G14,2016,47,4.56,5.32
Lengde,lengde,G14,2017,50,4.6,5.317
Lengde,lengde,G14,2018,44,4.655,5.348
Lengde,lengde,G14,2019,40,4.63,5.215
Lengde,lengde,G14,2020,40,4.56,5.33
Lengde,lengde,G14,2021,35,4.58,5.458
Lengde,lengde,G14,2022,38,4.52,5.5
Lengde,lengde,G14,2023,30,4.81,5.718
Lengde,lengde,G14,2024,38,4.69,5.541
Lengde,lengde,G14,2025,44,4.425,5.364
Lengde,lengde,J13,2012,0,,
Lengde,lengde,J13,2013,71,4.0,4.66
Lengde,lengde,J13,2014,61,4.28,4.74
Lengde,lengde,J13,2015,60,4.245,4.685
Lengde,lengde,J13,2016,66,4.18,4.795
Lengde,lengde,J13,2017,62,4.17,4.616
Lengde,lengde,J13,2018,75,4.13,4.686
Lengde,lengde,J13,2019,70,4.06,4.594
Lengde,lengde,J13,2020,52,4.13,4.717
Lengde,lengde,J13,2021,61,4.02,4.47
Lengde,lengde,J13,2022,56,4.11,4.625
Lengde,lengde,J13,2023,49,4.03,4.644
Lengde,lengde,J13,2024,62,3.945,4.655
Lengde,lengde,J13,2025,58,3.98,4.645
Lengde,lengde,J14,2012,63,4.17,4.83
Lengde,lengde,J14,2013,58,4.185,4.709
Lengde,lengde,J14,2014,51,4.22,4.77
Lengde,lengde,J14,2015,55,4.2,4.726
Lengde,lengde,J14,2016,51,4.26,4.73
Lengde,lengde,J14,2017,58,4.23,4.785
Lengde,lengde,J14,2018,63,4.18,4.786
Lengde,lengde,J14,2019,58,4.25,4.765
Lengde,lengde,J14,2020,45,4.09,4.536
Lengde,lengde,J14,2021,45,4.2,4.832
Lengde,lengde,J14,2022,53,4.13,4.642
Lengde,lengde,J14,2023,59,4.02,4.638
Lengde,lengde,J14,2024,44,4.11,4.799
Lengde,lengde,J14,2025,49,4.05,4.934
Høyde,hoyde,G13,2012,33,1.41,1.564
Høyde,hoyde,G13,2013,30,1.41,1.465
Høyde,hoyde,G13,2014,28,1.36,1.484
Høyde,hoyde,G13,2015,30,1.385,1.57
Høyde,hoyde,G13,2016,36,1.31,1.485
Høyde,hoyde,G13,2017,31,1.36,1.54
Høyde,hoyde,G13,2018,23,1.36,1.534
Høyde,hoyde,G13,2019,23,1.41,1.534
Høyde,hoyde,G13,2020,24,1.335,1.531
Høyde,hoyde,G13,2021,29,1.36,1.51
Høyde,hoyde,G13,2022,30,1.31,1.46
Høyde,hoyde,G13,2023,30,1.305,1.468
Høyde,hoyde,G13,2024,31,1.31,1.46
Høyde,hoyde,G13,2025,33,1.31,1.51
Høyde,hoyde,G14,2012,28,1.46,1.563
Høyde,hoyde,G14,2013,26,1.535,1.655
Høyde,hoyde,G14,2014,28,1.485,1.673
Høyde,hoyde,G14,2015,22,1.46,1.56
Høyde,hoyde,G14,2016,27,1.51,1.708
Høyde,hoyde,G14,2017,31,1.46,1.61
Høyde,hoyde,G14,2018,27,1.46,1.7
Høyde,hoyde,G14,2019,30,1.505,1.655
Høyde,hoyde,G14,2020,23,1.51,1.664
Høyde,hoyde,G14,2021,24,1.51,1.56
Høyde,hoyde,G14,2022,30,1.46,1.56
Høyde,hoyde,G14,2023,28,1.46,1.56
Høyde,hoyde,G14,2024,31,1.41,1.51
Høyde,hoyde,G14,2025,33,1.46,1.61
Høyde,hoyde,J13,2012,44,1.31,1.46
Høyde,hoyde,J13,2013,30,1.31,1.41
Høyde,hoyde,J13,2014,45,1.36,1.44
Høyde,hoyde,J13,2015,37,1.31,1.46
Høyde,hoyde,J13,2016,35,1.31,1.41
Høyde,hoyde,J13,2017,39,1.31,1.41
Høyde,hoyde,J13,2018,36,1.31,1.41
Høyde,hoyde,J13,2019,30,1.31,1.461
Høyde,hoyde,J13,2020,29,1.31,1.436
Høyde,hoyde,J13,2021,27,1.31,1.41
Høyde,hoyde,J13,2022,43,1.31,1.41
Høyde,hoyde,J13,2023,29,1.31,1.46
Høyde,hoyde,J13,2024,35,1.26,1.434
Høyde,hoyde,J13,2025,26,1.31,1.46
Høyde,hoyde,J14,2012,38,1.36,1.484
Høyde,hoyde,J14,2013,33,1.36,1.5
Høyde,hoyde,J14,2014,27,1.36,1.48
Høyde,hoyde,J14,2015,34,1.41,1.501
Høyde,hoyde,J14,2016,27,1.41,1.552
Høyde,hoyde,J14,2017,39,1.38,1.47
Høyde,hoyde,J14,2018,31,1.36,1.54
Høyde,hoyde,J14,2019,30,1.36,1.51
Høyde,hoyde,J14,2020,26,1.335,1.46
Høyde,hoyde,J14,2021,22,1.36,1.46
Høyde,hoyde,J14,2022,33,1.36,1.45
Høyde,hoyde,J14,2023,37,1.31,1.41
Høyde,hoyde,J14,2024,25,1.36,1.51
Høyde,hoyde,J14,2025,36,1.31,1.46
Tresteg,tresteg,G13,2012,0,,
Tresteg,tresteg,G13,2013,25,9.23,10.446
Tresteg,tresteg,G13,2014,30,9.29,10.512
Tresteg,tresteg,G13,2015,24,9.62,11.15
Tresteg,tresteg,G13,2016,20,8.985,10.3
Tresteg,tresteg,G13,2017,26,9.505,10.475
Tresteg,tresteg,G13,2018,34,9.415,10.567
Tresteg,tresteg,G13,2019,28,9.365,10.313
Tresteg,tresteg,G13,2020,28,9.345,10.458
Tresteg,tresteg,G13,2021,29,9.15,10.272
Tresteg,tresteg,G13,2022,24,9.26,10.74
Tresteg,tresteg,G13,2023,27,8.93,10.162
Tresteg,tresteg,G13,2024,19,9.42,
Tresteg,tresteg,G13,2025,22,9.05,9.947
Tresteg,tresteg,G14,2012,30,10.07,11.591
Tresteg,tresteg,G14,2013,24,10.015,11.316
Tresteg,tresteg,G14,2014,33,10.39,11.676
Tresteg,tresteg,G14,2015,25,10.07,11.224
Tresteg,tresteg,G14,2016,29,10.11,11.31
Tresteg,tresteg,G14,2017,32,10.075,11.124
Tresteg,tresteg,G14,2018,24,9.605,11.397
Tresteg,tresteg,G14,2019,32,9.795,10.801
Tresteg,tresteg,G14,2020,24,10.31,11.548
Tresteg,tresteg,G14,2021,27,9.65,11.098
Tresteg,tresteg,G14,2022,30,9.66,10.944
Tresteg,tresteg,G14,2023,23,9.27,10.666
Tresteg,tresteg,G14,2024,28,9.545,10.787
Tresteg,tresteg,G14,2025,27,9.38,11.062
Tresteg,tresteg,J13,2012,0,,
Tresteg,tresteg,J13,2013,41,8.6,9.75
Tresteg,tresteg,J13,2014,34,8.98,9.857
Tresteg,tresteg,J13,2015,44,9.085,9.811
Tresteg,tresteg,J13,2016,38,9.01,10.08
Tresteg,tresteg,J13,2017,39,9.15,9.986
Tresteg,tresteg,J13,2018,40,9.095,10.149
Tresteg,tresteg,J13,2019,32,8.895,9.645
Tresteg,tresteg,J13,2020,31,8.92,10.39
Tresteg,tresteg,J13,2021,33,8.85,9.618
Tresteg,tresteg,J13,2022,33,8.77,9.9
Tresteg,tresteg,J13,2023,22,8.955,9.92
Tresteg,tresteg,J13,2024,40,8.89,10.031
Tresteg,tresteg,J13,2025,35,8.29,9.84
Tresteg,tresteg,J14,2012,34,9.075,10.257
Tresteg,tresteg,J14,2013,38,9.185,10.231
Tresteg,tresteg,J14,2014,30,8.705,9.909
Tresteg,tresteg,J14,2015,31,9.22,10.13
Tresteg,tresteg,J14,2016,25,9.3,10.266
Tresteg,tresteg,J14,2017,38,9.165,10.135
Tresteg,tresteg,J14,2018,35,9.33,10.278
Tresteg,tresteg,J14,2019,41,9.22,10.26
Tresteg,tresteg,J14,2020,36,9.115,9.885
Tresteg,tresteg,J14,2021,31,9.11,10.45
Tresteg,tresteg,J14,2022,41,8.8,9.72
Tresteg,tresteg,J14,2023,39,8.72,10.214
Tresteg,tresteg,J14,2024,25,8.86,10.162
Tresteg,tresteg,J14,2025,35,8.95,10.052
Stav,stav,G13,2012,14,1.97,
Stav,stav,G13,2013,10,1.795,
Stav,stav,G13,2014,8,,
Stav,stav,G13,2015,10,1.87,
Stav,stav,G13,2016,16,1.995,
Stav,stav,G13,2017,11,1.82,
Stav,stav,G13,2018,12,2.02,
Stav,stav,G13,2019,14,2.085,
Stav,stav,G13,2020,8,,
Stav,stav,G13,2021,14,1.945,
Stav,stav,G13,2022,19,1.82,
Stav,stav,G13,2023,17,1.92,
Stav,stav,G13,2024,16,1.82,
Stav,stav,G13,2025,18,1.97,
Stav,stav,G14,2012,14,2.17,
Stav,stav,G14,2013,14,2.32,
Stav,stav,G14,2014,17,2.1,
Stav,stav,G14,2015,15,2.02,
Stav,stav,G14,2016,15,2.07,
Stav,stav,G14,2017,15,2.37,
Stav,stav,G14,2018,10,2.345,
Stav,stav,G14,2019,12,2.65,
Stav,stav,G14,2020,15,2.32,
Stav,stav,G14,2021,13,1.92,
Stav,stav,G14,2022,14,1.97,
Stav,stav,G14,2023,15,2.27,
Stav,stav,G14,2024,20,2.32,2.85
Stav,stav,G14,2025,16,2.27,
Stav,stav,J13,2012,11,1.87,
Stav,stav,J13,2013,12,2.07,
Stav,stav,J13,2014,18,1.72,
Stav,stav,J13,2015,14,1.82,
Stav,stav,J13,2016,13,1.92,
Stav,stav,J13,2017,13,1.92,
Stav,stav,J13,2018,16,1.87,
Stav,stav,J13,2019,10,2.1,
Stav,stav,J13,2020,12,1.945,
Stav,stav,J13,2021,12,1.845,
Stav,stav,J13,2022,23,1.92,2.508
Stav,stav,J13,2023,18,1.82,
Stav,stav,J13,2024,17,1.82,
Stav,stav,J13,2025,11,2.0,
Stav,stav,J14,2012,18,2.045,
Stav,stav,J14,2013,8,,
Stav,stav,J14,2014,19,2.12,
Stav,stav,J14,2015,17,2.02,
Stav,stav,J14,2016,15,2.02,
Stav,stav,J14,2017,17,2.07,
Stav,stav,J14,2018,18,1.92,
Stav,stav,J14,2019,16,1.92,
Stav,stav,J14,2020,14,2.195,
Stav,stav,J14,2021,15,1.82,
Stav,stav,J14,2022,16,1.82,
Stav,stav,J14,2023,20,2.02,2.63
Stav,stav,J14,2024,14,2.145,
Stav,stav,J14,2025,16,2.17,
Kappgang 1000 m,kappgang_1000_m,G13,2012,17,380.0,
Kappgang 1000 m,kappgang_1000_m,G13,2013,15,378.0,
Kappgang 1000 m,kappgang_1000_m,G13,2014,16,383.0,
Kappgang 1000 m,kappgang_1000_m,G13,2015,9,,
Kappgang 1000 m,kappgang_1000_m,G13,2016,14,391.5,
Kappgang 1000 m,kappgang_1000_m,G13,2017,14,394.5,
Kappgang 1000 m,kappgang_1000_m,G13,2018,15,418.0,
Kappgang 1000 m,kappgang_1000_m,G13,2019,19,390.0,
Kappgang 1000 m,kappgang_1000_m,G13,2020,18,388.0,
Kappgang 1000 m,kappgang_1000_m,G13,2021,21,368.98,333.0
Kappgang 1000 m,kappgang_1000_m,G13,2022,20,402.09,370.754
Kappgang 1000 m,kappgang_1000_m,G13,2023,18,392.05,
Kappgang 1000 m,kappgang_1000_m,G13,2024,24,399.0,370.0
Kappgang 1000 m,kappgang_1000_m,G13,2025,17,383.0,
Kappgang 1000 m,kappgang_1000_m,G14,2012,19,369.57,
Kappgang 1000 m,kappgang_1000_m,G14,2013,14,372.13,
Kappgang 1000 m,kappgang_1000_m,G14,2014,21,359.94,303.0
Kappgang 1000 m,kappgang_1000_m,G14,2015,12,383.0,
Kappgang 1000 m,kappgang_1000_m,G14,2016,14,380.855,
Kappgang 1000 m,kappgang_1000_m,G14,2017,14,370.59,
Kappgang 1000 m,kappgang_1000_m,G14,2018,13,377.0,
Kappgang 1000 m,kappgang_1000_m,G14,2019,15,349.0,
Kappgang 1000 m,kappgang_1000_m,G14,2020,14,354.0,
Kappgang 1000 m,kappgang_1000_m,G14,2021,25,354.76,310.168
Kappgang 1000 m,kappgang_1000_m,G14,2022,25,377.8,340.238
Kappgang 1000 m,kappgang_1000_m,G14,2023,17,372.34,
Kappgang 1000 m,kappgang_1000_m,G14,2024,20,381.0,354.762
Kappgang 1000 m,kappgang_1000_m,G14,2025,21,399.0,325.0
Kappgang 1000 m,kappgang_1000_m,J13,2012,23,380.0,350.8
Kappgang 1000 m,kappgang_1000_m,J13,2013,16,379.5,
Kappgang 1000 m,kappgang_1000_m,J13,2014,20,379.5,350.9
Kappgang 1000 m,kappgang_1000_m,J13,2015,11,404.0,
Kappgang 1000 m,kappgang_1000_m,J13,2016,22,374.5,342.5
Kappgang 1000 m,kappgang_1000_m,J13,2017,21,375.0,347.0
Kappgang 1000 m,kappgang_1000_m,J13,2018,17,405.0,
Kappgang 1000 m,kappgang_1000_m,J13,2019,16,417.5,
Kappgang 1000 m,kappgang_1000_m,J13,2020,18,399.5,
Kappgang 1000 m,kappgang_1000_m,J13,2021,22,390.0,347.2
Kappgang 1000 m,kappgang_1000_m,J13,2022,31,395.0,373.0
Kappgang 1000 m,kappgang_1000_m,J13,2023,19,398.0,
Kappgang 1000 m,kappgang_1000_m,J13,2024,28,403.5,360.5
Kappgang 1000 m,kappgang_1000_m,J13,2025,21,398.0,362.0
Kappgang 1000 m,kappgang_1000_m,J14,2012,24,369.0,348.3
Kappgang 1000 m,kappgang_1000_m,J14,2013,18,382.0,
Kappgang 1000 m,kappgang_1000_m,J14,2014,22,373.0,348.4
Kappgang 1000 m,kappgang_1000_m,J14,2015,14,364.0,
Kappgang 1000 m,kappgang_1000_m,J14,2016,15,366.0,
Kappgang 1000 m,kappgang_1000_m,J14,2017,14,364.0,
Kappgang 1000 m,kappgang_1000_m,J14,2018,18,386.5,
Kappgang 1000 m,kappgang_1000_m,J14,2019,14,362.0,
Kappgang 1000 m,kappgang_1000_m,J14,2020,23,399.0,340.0
Kappgang 1000 m,kappgang_1000_m,J14,2021,21,392.0,337.0
Kappgang 1000 m,kappgang_1000_m,J14,2022,28,389.31,361.7
Kappgang 1000 m,kappgang_1000_m,J14,2023,29,391.0,355.4
Kappgang 1000 m,kappgang_1000_m,J14,2024,25,411.0,354.6
Kappgang 1000 m,kappgang_1000_m,J14,2025,30,389.5,346.3
Kule (3 kg),kule_3kg,G13,2012,41,8.75,10.73
Kule (3 kg),kule_3kg,G13,2013,44,8.585,11.169
Kule (3 kg),kule_3kg,G13,2014,33,9.21,12.14
Kule (3 kg),kule_3kg,G13,2015,42,8.01,10.594
Kule (3 kg),kule_3kg,G13,2016,28,9.495,11.115
Kule (3 kg),kule_3kg,G13,2017,34,8.835,11.03
Kule (3 kg),kule_3kg,G13,2018,36,8.525,9.94
Kule (3 kg),kule_3kg,G13,2019,38,8.235,10.756
Kule (3 kg),kule_3kg,G13,2020,30,8.41,10.438
Kule (3 kg),kule_3kg,G13,2021,44,8.3,9.937
Kule (3 kg),kule_3kg,G13,2022,27,8.53,9.814
Kule (3 kg),kule_3kg,G13,2023,33,8.75,11.28
Kule (3 kg),kule_3kg,G13,2024,33,7.95,10.208
Kule (3 kg),kule_3kg,G13,2025,38,7.825,10.943
Kule (4 kg),kule_4kg,G14,2012,38,8.705,12.022
Kule (4 kg),kule_4kg,G14,2013,29,9.09,11.802
Kule (4 kg),kule_4kg,G14,2014,38,9.28,10.945
Kule (4 kg),kule_4kg,G14,2015,35,8.62,11.706
Kule (4 kg),kule_4kg,G14,2016,26,9.17,11.3
Kule (4 kg),kule_4kg,G14,2017,32,9.375,12.347
Kule (4 kg),kule_4kg,G14,2018,31,8.2,11.51
Kule (4 kg),kule_4kg,G14,2019,29,8.71,11.154
Kule (4 kg),kule_4kg,G14,2020,28,8.615,11.637
Kule (4 kg),kule_4kg,G14,2021,35,8.89,10.512
Kule (4 kg),kule_4kg,G14,2022,40,8.525,9.875
Kule (4 kg),kule_4kg,G14,2023,33,8.65,9.744
Kule (4 kg),kule_4kg,G14,2024,25,8.88,9.748
Kule (4 kg),kule_4kg,G14,2025,34,8.21,10.009
Kule (2 kg),kule_2kg,J13,2012,51,8.71,10.3
Kule (2 kg),kule_2kg,J13,2013,39,8.54,10.0
Kule (2 kg),kule_2kg,J13,2014,51,8.64,10.34
Kule (2 kg),kule_2kg,J13,2015,49,8.29,10.446
Kule (2 kg),kule_2kg,J13,2016,47,9.1,10.58
Kule (2 kg),kule_2kg,J13,2017,41,8.92,10.33
Kule (2 kg),kule_2kg,J13,2018,42,8.4,11.084
Kule (2 kg),kule_2kg,J13,2019,47,8.26,10.302
Kule (2 kg),kule_2kg,J13,2020,34,7.78,10.802
Kule (2 kg),kule_2kg,J13,2021,41,7.91,10.54
Kule (2 kg),kule_2kg,J13,2022,47,8.38,10.018
