ovelse,yr,sex,n,median_forb
Høyde,2019,J,11,0.0
Høyde,2020,G,11,7.453416149068316
Høyde,2020,J,15,3.546099290780145
Høyde,2021,J,13,3.4246575342465784
Høyde,2022,G,11,7.352941176470577
Høyde,2022,J,13,0.0
Høyde,2023,G,14,7.633587786259531
Høyde,2023,J,20,0.0
Høyde,2024,G,12,5.530226274907131
Høyde,2024,J,11,3.8167938931297742
Høyde,2025,G,12,7.222569879015434
Høyde,2025,J,16,4.273049645390075
Tresteg,2014,G,13,9.164420485175198
Tresteg,2014,J,11,2.4608501118568307
Tresteg,2015,G,17,4.437564499484002
Tresteg,2015,J,20,-1.3034328032243345
Tresteg,2016,J,22,1.8678901604976534
Tresteg,2017,J,14,0.15999900044008059
Tresteg,2018,J,15,4.6099290780141695
Tresteg,2019,G,15,4.663774403470712
Tresteg,2019,J,22,2.0152565671593097
Tresteg,2020,J,17,0.9842519685039335
Tresteg,2021,G,14,2.1957332567228094
Tresteg,2021,J,13,0.8599508599508634
Tresteg,2022,G,10,7.086206896551732
Tresteg,2022,J,21,1.2528473804100366
Tresteg,2023,G,10,3.1505517186631833
Tresteg,2023,J,24,0.4898033947979088
Tresteg,2024,G,13,6.593406593406598
Tresteg,2025,G,11,8.349705304518661
Tresteg,2025,J,22,0.013847147363455103
Stav,2014,J,10,6.91266209000764
Stav,2016,J,11,11.627906976744184
Stav,2023,G,10,21.961063627730287
Stav,2023,J,11,9.90099009900991
Stav,2024,G,12,22.59779038518961
Stav,2024,J,12,13.213309533106488
Stav,2025,J,14,11.460911716171623
Kappgang 1000 m,2017,J,10,3.5351049868766404
Kappgang 1000 m,2023,J,13,3.6175710594315245
Kappgang 1000 m,2025,J,13,4.468085106382978
