code,gender,klasse,yr,n,med,p90,gruppe
diskos_600g,F,13,2013,65,17800.0,22234.0,J13
diskos_600g,F,13,2014,82,18610.0,24873.0,J13
diskos_600g,F,13,2015,68,18210.0,28983.0,J13
diskos_600g,F,13,2016,108,18070.0,23943.0,J13
diskos_600g,F,13,2017,87,16730.0,24130.0,J13
diskos_600g,F,13,2018,75,17970.0,27664.0,J13
diskos_600g,F,13,2019,45,18680.0,25640.0,J13
diskos_600g,F,13,2020,51,16010.0,22920.0,J13
diskos_600g,F,13,2021,45,17050.0,23238.0,J13
diskos_600g,F,13,2022,62,16410.0,22105.0,J13
diskos_600g,F,13,2023,42,18175.0,25209.0,J13
diskos_600g,F,13,2024,55,17270.0,23068.0,J13
diskos_600g,F,13,2025,64,16195.0,22590.0,J13
diskos_600g,F,14,2012,3,28800.0,34968.0,J14
diskos_600g,F,14,2013,3,28560.0,31328.0,J14
diskos_600g,F,14,2014,2,14690.0,17378.0,J14
diskos_600g,F,14,2016,4,12445.0,14204.0,J14
diskos_600g,F,14,2017,1,17840.0,17840.0,J14
diskos_600g,F,14,2019,1,13450.0,13450.0,J14
diskos_600g,F,14,2020,2,24850.0,26610.0,J14
diskos_600g,F,14,2021,1,27400.0,27400.0,J14
diskos_600g,F,14,2024,1,17250.0,17250.0,J14
diskos_600g,M,13,2012,2,12220.0,12860.0,G13
diskos_600g,M,13,2013,4,24555.0,26758.0,G13
diskos_600g,M,13,2015,2,29255.0,35875.0,G13
diskos_600g,M,13,2016,2,30815.0,40083.0,G13
diskos_600g,M,13,2017,3,30730.0,31658.0,G13
diskos_600g,M,13,2018,1,26460.0,26460.0,G13
diskos_600g,M,13,2019,5,18140.0,26296.0,G13
diskos_600g,M,13,2021,1,22760.0,22760.0,G13
diskos_600g,M,13,2025,1,21350.0,21350.0,G13
diskos_600g,M,14,2016,1,15550.0,15550.0,G14
diskos_600g,M,14,2020,1,26770.0,26770.0,G14
diskos_750g,F,13,2012,7,17370.0,26314.0,J13
diskos_750g,F,13,2013,3,23060.0,25860.0,J13
diskos_750g,F,13,2014,6,16890.0,25195.0,J13
diskos_750g,F,13,2015,6,18695.0,31855.0,J13
diskos_750g,F,13,2016,10,19990.0,25974.0,J13
diskos_750g,F,13,2017,2,16605.0,18833.0,J13
diskos_750g,F,13,2018,8,23850.0,29841.0,J13
diskos_750g,F,13,2019,2,20430.0,21422.0,J13
diskos_750g,F,13,2020,2,27565.0,34457.0,J13
diskos_750g,F,13,2021,3,22190.0,27854.0,J13
diskos_750g,F,13,2022,1,19280.0,19280.0,J13
diskos_750g,F,13,2023,3,14160.0,18016.0,J13
diskos_750g,F,13,2024,1,26450.0,26450.0,J13
diskos_750g,F,13,2025,1,15900.0,15900.0,J13
diskos_750g,F,14,2012,58,19235.0,27952.0,J14
diskos_750g,F,14,2013,52,18080.0,26497.0,J14
diskos_750g,F,14,2014,61,19290.0,27300.0,J14
diskos_750g,F,14,2015,67,19350.0,26566.0,J14
diskos_750g,F,14,2016,67,18310.0,26640.0,J14
diskos_750g,F,14,2017,86,18980.0,26185.0,J14
diskos_750g,F,14,2018,68,18140.0,26061.0,J14
diskos_750g,F,14,2019,61,20650.0,26690.0,J14
diskos_750g,F,14,2020,41,18080.0,26400.0,J14
diskos_750g,F,14,2021,50,17780.0,26922.0,J14
diskos_750g,F,14,2022,50,18435.0,25405.0,J14
diskos_750g,F,14,2023,66,17220.0,24935.0,J14
diskos_750g,F,14,2024,42,18585.0,24880.0,J14
diskos_750g,F,14,2025,51,17800.0,25540.0,J14
diskos_750g,M,13,2012,58,19665.0,29522.0,G13
diskos_750g,M,13,2013,82,18440.0,27916.0,G13
diskos_750g,M,13,2014,74,19380.0,30924.0,G13
diskos_750g,M,13,2015,75,19730.0,29520.0,G13
diskos_750g,M,13,2016,66,19555.0,29620.0,G13
diskos_750g,M,13,2017,86,19880.0,30455.0,G13
diskos_750g,M,13,2018,58,20755.0,29060.0,G13
diskos_750g,M,13,2019,68,20470.0,28842.0,G13
diskos_750g,M,13,2020,38,20610.0,29692.0,G13
diskos_750g,M,13,2021,52,17730.0,27700.0,G13
diskos_750g,M,13,2022,66,18575.0,26400.0,G13
diskos_750g,M,13,2023,55,18130.0,29998.0,G13
diskos_750g,M,13,2024,66,18860.0,25040.0,G13
diskos_750g,M,13,2025,67,19140.0,27344.0,G13
diskos_750g,M,14,2013,1,14400.0,14400.0,G14
diskos_750g,M,14,2014,1,21910.0,21910.0,G14
diskos_750g,M,14,2016,3,16910.0,17174.0,G14
diskos_750g,M,14,2020,2,23335.0,30347.0,G14
diskos_750g,M,14,2021,1,25570.0,25570.0,G14
hoyde,F,13,2012,187,1250.0,1400.0,J13
hoyde,F,13,2013,172,1250.0,1360.0,J13
hoyde,F,13,2014,208,1250.0,1410.0,J13
hoyde,F,13,2015,180,1250.0,1402.0,J13
hoyde,F,13,2016,219,1250.0,1420.0,J13
hoyde,F,13,2017,184,1250.0,1400.0,J13
hoyde,F,13,2018,177,1250.0,1410.0,J13
hoyde,F,13,2019,150,1200.0,1400.0,J13
hoyde,F,13,2020,110,1250.0,1450.0,J13
hoyde,F,13,2021,99,1250.0,1412.0,J13
hoyde,F,13,2022,141,1260.0,1400.0,J13
hoyde,F,13,2023,117,1250.0,1420.0,J13
hoyde,F,13,2024,123,1250.0,1410.0,J13
hoyde,F,13,2025,143,1200.0,1400.0,J13
hoyde,F,14,2012,116,1310.0,1460.0,J14
hoyde,F,14,2013,111,1350.0,1500.0,J14
hoyde,F,14,2014,103,1330.0,1486.0,J14
hoyde,F,14,2015,130,1305.0,1500.0,J14
hoyde,F,14,2016,112,1300.0,1500.0,J14
hoyde,F,14,2017,147,1300.0,1500.0,J14
hoyde,F,14,2018,125,1300.0,1500.0,J14
hoyde,F,14,2019,113,1300.0,1496.0,J14
hoyde,F,14,2020,62,1300.0,1497.0,J14
hoyde,F,14,2021,67,1320.0,1518.0,J14
hoyde,F,14,2022,72,1300.0,1450.0,J14
hoyde,F,14,2023,101,1340.0,1450.0,J14
hoyde,F,14,2024,74,1300.0,1510.0,J14
hoyde,F,14,2025,88,1300.0,1500.0,J14
hoyde,M,13,2012,167,1250.0,1460.0,G13
hoyde,M,13,2013,162,1250.0,1450.0,G13
hoyde,M,13,2014,150,1250.0,1411.0,G13
hoyde,M,13,2015,141,1300.0,1450.0,G13
hoyde,M,13,2016,140,1300.0,1464.0,G13
hoyde,M,13,2017,159,1260.0,1450.0,G13
hoyde,M,13,2018,139,1250.0,1452.0,G13
hoyde,M,13,2019,149,1300.0,1450.0,G13
hoyde,M,13,2020,106,1295.0,1480.0,G13
hoyde,M,13,2021,107,1300.0,1480.0,G13
hoyde,M,13,2022,97,1300.0,1468.0,G13
hoyde,M,13,2023,109,1260.0,1456.0,G13
hoyde,M,13,2024,115,1300.0,1450.0,G13
hoyde,M,13,2025,128,1290.0,1450.0,G13
hoyde,M,14,2012,115,1400.0,1600.0,G14
hoyde,M,14,2013,111,1400.0,1630.0,G14
hoyde,M,14,2014,98,1400.0,1553.0,G14
hoyde,M,14,2015,95,1400.0,1584.0,G14
hoyde,M,14,2016,103,1370.0,1600.0,G14
hoyde,M,14,2017,113,1350.0,1560.0,G14
hoyde,M,14,2018,100,1400.0,1600.0,G14
hoyde,M,14,2019,95,1410.0,1622.0,G14
hoyde,M,14,2020,70,1450.0,1601.0,G14
hoyde,M,14,2021,62,1450.0,1600.0,G14
hoyde,M,14,2022,87,1410.0,1588.0,G14
hoyde,M,14,2023,69,1450.0,1602.0,G14
hoyde,M,14,2024,88,1365.0,1550.0,G14
hoyde,M,14,2025,92,1385.0,1600.0,G14
kule_2kg,F,13,2012,243,7430.0,9710.0,J13
kule_2kg,F,13,2013,318,7260.0,9161.0,J13
kule_2kg,F,13,2014,284,7485.0,9717.0,J13
kule_2kg,F,13,2015,255,7290.0,9700.0,J13
kule_2kg,F,13,2016,331,7420.0,9880.0,J13
kule_2kg,F,13,2017,295,7510.0,9482.0,J13
kule_2kg,F,13,2018,273,7610.0,9468.0,J13
kule_2kg,F,13,2019,212,7265.0,9904.0,J13
kule_2kg,F,13,2020,177,7230.0,9598.0,J13
kule_2kg,F,13,2021,136,7360.0,9180.0,J13
kule_2kg,F,13,2022,188,7210.0,9161.0,J13
kule_2kg,F,13,2023,166,7025.0,9280.0,J13
kule_2kg,F,13,2024,202,7015.0,9442.0,J13
kule_2kg,F,13,2025,226,6960.0,9255.0,J13
kule_2kg,F,14,2012,6,8135.0,9465.0,J14
kule_2kg,F,14,2013,3,8650.0,9066.0,J14
kule_2kg,F,14,2014,6,6730.0,7850.0,J14
kule_2kg,F,14,2015,4,6305.0,7463.0,J14
kule_2kg,F,14,2016,4,8520.0,9204.0,J14
kule_2kg,F,14,2017,5,7160.0,8094.0,J14
kule_2kg,F,14,2018,1,6820.0,6820.0,J14
kule_2kg,F,14,2020,1,6280.0,6280.0,J14
kule_2kg,F,14,2022,2,6005.0,6017.0,J14
kule_2kg,F,14,2023,3,7500.0,8636.0,J14
kule_2kg,F,14,2024,4,6175.0,8552.0,J14
kule_2kg,F,14,2025,1,5490.0,5490.0,J14
kule_2kg,M,13,2013,12,5715.0,7106.0,G13
kule_2kg,M,13,2014,4,6880.0,7574.0,G13
kule_2kg,M,13,2015,2,7630.0,7726.0,G13
kule_2kg,M,13,2016,2,8050.0,9106.0,G13
kule_2kg,M,13,2017,10,6190.0,8046.0,G13
kule_2kg,M,13,2018,1,6120.0,6120.0,G13
kule_2kg,M,13,2019,4,6140.0,6826.0,G13
kule_2kg,M,13,2020,3,6270.0,7822.0,G13
kule_2kg,M,13,2022,1,5520.0,5520.0,G13
kule_2kg,M,13,2023,3,6380.0,7108.0,G13
kule_2kg,M,13,2024,25,8250.0,10314.0,G13
kule_2kg,M,13,2025,3,6410.0,7202.0,G13
kule_2kg,M,14,2012,1,5180.0,5180.0,G14
kule_2kg,M,14,2013,1,7450.0,7450.0,G14
kule_2kg,M,14,2024,2,8060.0,8276.0,G14
kule_3kg,F,13,2012,29,6200.0,8514.0,J13
kule_3kg,F,13,2013,18,7410.0,8464.0,J13
kule_3kg,F,13,2014,26,6440.0,8000.0,J13
kule_3kg,F,13,2015,15,6270.0,10080.0,J13
kule_3kg,F,13,2016,20,7445.0,9150.0,J13
kule_3kg,F,13,2017,15,7270.0,8228.0,J13
kule_3kg,F,13,2018,23,7290.0,9806.0,J13
kule_3kg,F,13,2019,24,6875.0,8412.0,J13
kule_3kg,F,13,2020,5,8570.0,9810.0,J13
kule_3kg,F,13,2021,14,7085.0,8494.0,J13
kule_3kg,F,13,2022,9,5650.0,7192.0,J13
kule_3kg,F,13,2023,5,8320.0,10170.0,J13
kule_3kg,F,13,2024,5,8120.0,9120.0,J13
kule_3kg,F,13,2025,8,7685.0,8523.0,J13
kule_3kg,F,14,2012,177,7270.0,9122.0,J14
kule_3kg,F,14,2013,180,6950.0,9263.0,J14
kule_3kg,F,14,2014,164,7170.0,9263.0,J14
kule_3kg,F,14,2015,210,7150.0,9100.0,J14
kule_3kg,F,14,2016,212,6800.0,8886.0,J14
kule_3kg,F,14,2017,248,7160.0,9052.0,J14
kule_3kg,F,14,2018,231,6940.0,8750.0,J14
kule_3kg,F,14,2019,220,6865.0,8590.0,J14
kule_3kg,F,14,2020,104,7105.0,9285.0,J14
kule_3kg,F,14,2021,112,7095.0,9264.0,J14
kule_3kg,F,14,2022,155,6710.0,8830.0,J14
kule_3kg,F,14,2023,172,6730.0,8533.0,J14
kule_3kg,F,14,2024,117,6600.0,8640.0,J14
kule_3kg,F,14,2025,144,6560.0,9214.0,J14
kule_3kg,M,13,2012,191,7400.0,9830.0,G13
kule_3kg,M,13,2013,230,7155.0,9540.0,G13
kule_3kg,M,13,2014,210,7200.0,9814.0,G13
kule_3kg,M,13,2015,208,7135.0,9418.0,G13
kule_3kg,M,13,2016,208,6880.0,9839.0,G13
kule_3kg,M,13,2017,227,6950.0,9590.0,G13
kule_3kg,M,13,2018,198,7090.0,9530.0,G13
kule_3kg,M,13,2019,198,7015.0,9416.0,G13
kule_3kg,M,13,2020,170,7005.0,8970.0,G13
kule_3kg,M,13,2021,171,7150.0,9460.0,G13
kule_3kg,M,13,2022,162,7155.0,9038.0,G13
kule_3kg,M,13,2023,161,6620.0,9630.0,G13
kule_3kg,M,13,2024,150,6915.0,9374.0,G13
kule_3kg,M,13,2025,197,6640.0,9154.0,G13
kule_3kg,M,14,2012,2,10595.0,12807.0,G14
kule_3kg,M,14,2013,13,9450.0,10410.0,G14
kule_3kg,M,14,2014,21,7080.0,10160.0,G14
kule_3kg,M,14,2015,4,8310.0,9309.0,G14
kule_3kg,M,14,2016,6,5935.0,9080.0,G14
kule_3kg,M,14,2017,9,7810.0,9534.0,G14
kule_3kg,M,14,2018,9,6960.0,8388.0,G14
kule_3kg,M,14,2019,4,8215.0,9235.0,G14
kule_3kg,M,14,2020,3,7210.0,7778.0,G14
kule_3kg,M,14,2021,3,8140.0,8796.0,G14
kule_3kg,M,14,2022,10,8750.0,11850.0,G14
kule_3kg,M,14,2023,4,8010.0,11802.0,G14
kule_3kg,M,14,2025,3,7930.0,9138.0,G14
kule_4kg,F,13,2014,1,6990.0,6990.0,J13
kule_4kg,F,13,2015,1,7970.0,7970.0,J13
kule_4kg,F,13,2017,1,7670.0,7670.0,J13
kule_4kg,F,13,2018,2,6835.0,7207.0,J13
kule_4kg,F,13,2020,1,5470.0,5470.0,J13
kule_4kg,F,13,2021,2,6550.0,6902.0,J13
kule_4kg,F,14,2012,1,8080.0,8080.0,J14
kule_4kg,F,14,2013,6,8150.0,8710.0,J14
kule_4kg,F,14,2014,4,7890.0,8737.0,J14
kule_4kg,F,14,2015,7,8350.0,9350.0,J14
kule_4kg,F,14,2016,1,9450.0,9450.0,J14
kule_4kg,F,14,2017,2,8550.0,9886.0,J14
kule_4kg,F,14,2018,3,7480.0,10032.0,J14
kule_4kg,F,14,2019,5,9090.0,10176.0,J14
kule_4kg,F,14,2020,2,7270.0,7334.0,J14
kule_4kg,F,14,2021,1,6930.0,6930.0,J14
kule_4kg,F,14,2024,1,7790.0,7790.0,J14
kule_4kg,M,13,2012,2,7180.0,7764.0,G13
kule_4kg,M,13,2013,11,7220.0,8780.0,G13
kule_4kg,M,13,2014,13,7740.0,11000.0,G13
kule_4kg,M,13,2015,9,7550.0,9224.0,G13
kule_4kg,M,13,2016,7,7220.0,10340.0,G13
kule_4kg,M,13,2017,9,9100.0,10606.0,G13
kule_4kg,M,13,2018,9,7220.0,8616.0,G13
kule_4kg,M,13,2019,13,7190.0,8516.0,G13
kule_4kg,M,13,2020,1,5400.0,5400.0,G13
kule_4kg,M,13,2022,8,6725.0,10419.0,G13
kule_4kg,M,13,2023,2,9140.0,10668.0,G13
kule_4kg,M,13,2024,4,7120.0,8266.0,G13
kule_4kg,M,13,2025,2,9575.0,10603.0,G13
kule_4kg,M,14,2012,149,7990.0,10470.0,G14
kule_4kg,M,14,2013,161,7680.0,10240.0,G14
kule_4kg,M,14,2014,143,7680.0,10688.0,G14
kule_4kg,M,14,2015,172,7770.0,10094.0,G14
kule_4kg,M,14,2016,163,7650.0,10266.0,G14
kule_4kg,M,14,2017,156,8000.0,10525.0,G14
kule_4kg,M,14,2018,170,7835.0,10775.0,G14
kule_4kg,M,14,2019,159,7850.0,9970.0,G14
kule_4kg,M,14,2020,111,7630.0,10320.0,G14
kule_4kg,M,14,2021,94,7850.0,10356.0,G14
kule_4kg,M,14,2022,159,7340.0,9792.0,G14
kule_4kg,M,14,2023,127,7650.0,9744.0,G14
kule_4kg,M,14,2024,122,7180.0,9879.0,G14
kule_4kg,M,14,2025,127,7080.0,9456.0,G14
lengde,F,13,2012,51,4070.0,4790.0,J13
lengde,F,13,2013,388,3750.0,4393.0,J13
lengde,F,13,2014,393,3860.0,4486.0,J13
lengde,F,13,2015,386,3825.0,4470.0,J13
lengde,F,13,2016,412,3790.0,4490.0,J13
lengde,F,13,2017,378,3800.0,4453.0,J13
lengde,F,13,2018,369,3800.0,4420.0,J13
lengde,F,13,2019,303,3820.0,4480.0,J13
lengde,F,13,2020,240,3780.0,4501.0,J13
lengde,F,13,2021,213,3830.0,4438.0,J13
lengde,F,13,2022,267,3840.0,4490.0,J13
lengde,F,13,2023,235,3810.0,4472.0,J13
lengde,F,13,2024,246,3750.0,4450.0,J13
lengde,F,13,2025,286,3770.0,4440.0,J13
lengde,F,14,2012,249,3980.0,4660.0,J14
lengde,F,14,2013,238,3925.0,4716.0,J14
lengde,F,14,2014,248,3905.0,4640.0,J14
lengde,F,14,2015,293,3920.0,4680.0,J14
lengde,F,14,2016,268,3930.0,4613.0,J14
lengde,F,14,2017,316,3870.0,4625.0,J14
lengde,F,14,2018,303,3950.0,4608.0,J14
lengde,F,14,2019,276,3885.0,4620.0,J14
lengde,F,14,2020,155,4010.0,4636.0,J14
lengde,F,14,2021,150,3940.0,4821.0,J14
lengde,F,14,2022,182,3920.0,4597.0,J14
lengde,F,14,2023,233,3800.0,4518.0,J14
lengde,F,14,2024,145,4020.0,4714.0,J14
lengde,F,14,2025,196,3770.0,4605.0,J14
lengde,M,13,2012,18,4080.0,5066.0,G13
lengde,M,13,2013,310,3900.0,4592.0,G13
lengde,M,13,2014,298,3865.0,4706.0,G13
lengde,M,13,2015,241,3930.0,4720.0,G13
lengde,M,13,2016,270,4020.0,4713.0,G13
lengde,M,13,2017,288,3850.0,4743.0,G13
lengde,M,13,2018,241,3990.0,4740.0,G13
lengde,M,13,2019,275,3960.0,4706.0,G13
lengde,M,13,2020,189,4000.0,4762.0,G13
lengde,M,13,2021,213,4000.0,4728.0,G13
lengde,M,13,2022,212,3925.0,4718.0,G13
lengde,M,13,2023,222,3760.0,4669.0,G13
lengde,M,13,2024,219,3820.0,4810.0,G13
lengde,M,13,2025,235,3840.0,4542.0,G13
lengde,M,14,2012,196,4330.0,5270.0,G14
lengde,M,14,2013,224,4305.0,5107.0,G14
lengde,M,14,2014,202,4270.0,5190.0,G14
lengde,M,14,2015,217,4250.0,5114.0,G14
lengde,M,14,2016,214,4270.0,5037.0,G14
lengde,M,14,2017,211,4370.0,5180.0,G14
lengde,M,14,2018,212,4335.0,5090.0,G14
lengde,M,14,2019,201,4210.0,5000.0,G14
lengde,M,14,2020,154,4265.0,5160.0,G14
lengde,M,14,2021,120,4375.0,5281.0,G14
lengde,M,14,2022,182,4215.0,5068.0,G14
lengde,M,14,2023,180,4020.0,5135.0,G14
lengde,M,14,2024,159,4200.0,5216.0,G14
lengde,M,14,2025,177,4090.0,5112.0,G14
spyd_400g,F,13,2012,117,18790.0,26922.0,J13
spyd_400g,F,13,2013,132,16990.0,27184.0,J13
spyd_400g,F,13,2014,127,17730.0,27396.0,J13
spyd_400g,F,13,2015,136,16540.0,26460.0,J13
spyd_400g,F,13,2016,184,16935.0,26233.0,J13
spyd_400g,F,13,2017,146,16650.0,26015.0,J13
spyd_400g,F,13,2018,123,15610.0,26048.0,J13
spyd_400g,F,13,2019,86,16435.0,27650.0,J13
spyd_400g,F,13,2020,69,16260.0,26692.0,J13
spyd_400g,F,13,2021,71,16150.0,24730.0,J13
spyd_400g,F,13,2022,102,16110.0,25643.0,J13
spyd_400g,F,13,2023,79,17230.0,25372.0,J13
spyd_400g,F,13,2024,97,15470.0,23426.0,J13
spyd_400g,F,13,2025,100,16610.0,25033.0,J13
spyd_400g,F,14,2012,77,22920.0,35588.0,J14
spyd_400g,F,14,2013,91,21960.0,33400.0,J14
spyd_400g,F,14,2014,92,21020.0,33191.0,J14
spyd_400g,F,14,2015,94,20845.0,32991.0,J14
spyd_400g,F,14,2016,105,18840.0,29836.0,J14
spyd_400g,F,14,2017,130,20620.0,32119.0,J14
spyd_400g,F,14,2018,110,20825.0,29254.0,J14
spyd_400g,F,14,2019,83,20670.0,30298.0,J14
spyd_400g,F,14,2020,53,21200.0,33958.0,J14
spyd_400g,F,14,2021,63,20510.0,31958.0,J14
spyd_400g,F,14,2022,61,18430.0,31030.0,J14
spyd_400g,F,14,2023,87,20850.0,29114.0,J14
spyd_400g,F,14,2024,66,18020.0,28955.0,J14
spyd_400g,F,14,2025,82,18355.0,28639.0,J14
spyd_400g,M,13,2012,129,23600.0,36662.0,G13
spyd_400g,M,13,2013,147,22240.0,36320.0,G13
spyd_400g,M,13,2014,132,22960.0,36126.0,G13
spyd_400g,M,13,2015,126,22820.0,34560.0,G13
spyd_400g,M,13,2016,123,21750.0,33630.0,G13
spyd_400g,M,13,2017,130,21700.0,33251.0,G13
spyd_400g,M,13,2018,97,21240.0,32752.0,G13
spyd_400g,M,13,2019,114,22095.0,31657.0,G13
spyd_400g,M,13,2020,67,21740.0,33586.0,G13
spyd_400g,M,13,2021,95,20260.0,31158.0,G13
spyd_400g,M,13,2022,96,20750.0,30625.0,G13
spyd_400g,M,13,2023,82,19690.0,32603.0,G13
spyd_400g,M,13,2024,88,22445.0,30143.0,G13
spyd_400g,M,13,2025,93,20840.0,32150.0,G13
spyd_400g,M,14,2013,2,13015.0,13971.0,G14
spyd_400g,M,14,2014,3,17310.0,28686.0,G14
spyd_400g,M,14,2015,1,28610.0,28610.0,G14
spyd_400g,M,14,2016,2,16905.0,18741.0,G14
spyd_400g,M,14,2019,1,28940.0,28940.0,G14
spyd_400g,M,14,2022,3,22520.0,24560.0,G14
spyd_400g,M,14,2025,4,29065.0,32213.0,G14
spyd_600g,F,13,2012,2,16325.0,16729.0,J13
spyd_600g,F,13,2013,1,27650.0,27650.0,J13
spyd_600g,F,13,2015,1,39830.0,39830.0,J13
spyd_600g,F,13,2018,1,23140.0,23140.0,J13
spyd_600g,F,13,2020,1,8460.0,8460.0,J13
spyd_600g,F,13,2021,1,18550.0,18550.0,J13
spyd_600g,F,13,2023,1,24680.0,24680.0,J13
spyd_600g,F,14,2012,3,33390.0,36726.0,J14
spyd_600g,F,14,2013,6,30540.0,35755.0,J14
spyd_600g,F,14,2014,6,21765.0,34830.0,J14
spyd_600g,F,14,2015,3,30130.0,42106.0,J14
spyd_600g,F,14,2016,1,37460.0,37460.0,J14
spyd_600g,F,14,2017,3,26990.0,27238.0,J14
spyd_600g,F,14,2018,4,16030.0,26026.0,J14
spyd_600g,F,14,2019,3,33740.0,36892.0,J14
spyd_600g,F,14,2020,1,18660.0,18660.0,J14
spyd_600g,F,14,2021,2,12650.0,12738.0,J14
spyd_600g,F,14,2024,1,24880.0,24880.0,J14
spyd_600g,F,14,2025,2,17670.0,26654.0,J14
spyd_600g,M,13,2012,3,33050.0,34298.0,G13
spyd_600g,M,13,2013,8,16630.0,26826.0,G13
spyd_600g,M,13,2014,4,36710.0,40275.0,G13
spyd_600g,M,13,2015,4,21270.0,27354.0,G13
spyd_600g,M,13,2016,8,19285.0,30190.0,G13
spyd_600g,M,13,2017,3,17130.0,24162.0,G13
spyd_600g,M,13,2018,2,33195.0,42167.0,G13
spyd_600g,M,13,2019,2,20190.0,26630.0,G13
spyd_600g,M,13,2020,2,22605.0,24393.0,G13
spyd_600g,M,13,2022,2,25805.0,26873.0,G13
spyd_600g,M,13,2024,2,28570.0,36346.0,G13
spyd_600g,M,14,2012,115,27120.0,37922.0,G14
spyd_600g,M,14,2013,110,23945.0,36212.0,G14
spyd_600g,M,14,2014,86,27000.0,38950.0,G14
spyd_600g,M,14,2015,97,26130.0,40234.0,G14
spyd_600g,M,14,2016,106,23580.0,36240.0,G14
spyd_600g,M,14,2017,109,22840.0,35476.0,G14
spyd_600g,M,14,2018,89,24050.0,40442.0,G14
spyd_600g,M,14,2019,74,24735.0,35113.0,G14
spyd_600g,M,14,2020,58,26190.0,37966.0,G14
spyd_600g,M,14,2021,61,23160.0,37660.0,G14
spyd_600g,M,14,2022,80,24650.0,32658.0,G14
spyd_600g,M,14,2023,77,23550.0,31676.0,G14
spyd_600g,M,14,2024,76,22015.0,34925.0,G14
spyd_600g,M,14,2025,72,22080.0,34611.0,G14
