ovelse,kode,gruppe,n,aar,median_pct_tiaar,median_ki_lo,median_ki_hi,median_p,median_endring_2022_25_vs_2012_19_pct,topp_pct_tiaar,topp_ki_lo,topp_ki_hi,topp_p,topp_endring_2022_25_vs_2012_19_pct,ovelsesgruppe,kjonn,klasse
1500 m,1500m,J13,386,14,-1.053,-3.526,1.419,0.404,-0.435,2.124,-0.001,4.249,0.051,1.491,Mellomdistanse,J,13
1500 m,1500m,J14,377,14,-0.534,-2.915,1.848,0.661,-2.719,0.038,-1.94,2.016,0.97,-1.886,Mellomdistanse,J,14
Lengde,lengde,G13,570,13,-1.373,-4.652,1.907,0.412,-1.144,1.428,-2.85,5.706,0.513,0.899,Horisontale hopp,G,13
Lengde,lengde,G14,594,14,-1.437,-4.918,2.045,0.419,-0.107,3.259,-0.626,7.144,0.101,4.15,Horisontale hopp,G,14
Lengde,lengde,J13,803,13,-4.305,-6.672,-1.939,0.0,-3.373,-1.903,-4.952,1.145,0.221,-1.279,Horisontale hopp,J,13
Lengde,lengde,J14,752,14,-2.708,-5.201,-0.214,0.034,-3.563,-0.382,-3.276,2.511,0.796,-0.839,Horisontale hopp,J,14
Høyde,hoyde,G13,411,14,-4.162,-6.722,-1.602,0.002,-3.676,-3.897,-7.574,-0.219,0.038,-5.195,Vertikale hopp,G,13
Høyde,hoyde,G14,388,14,-0.002,-2.38,2.376,0.999,0.0,-2.637,-6.741,1.466,0.209,-5.455,Vertikale hopp,G,14
Høyde,hoyde,J13,485,14,-0.0,-2.117,2.117,1.0,0.0,0.001,-3.821,3.824,0.999,0.344,Vertikale hopp,J,13
Høyde,hoyde,J14,438,14,-0.0,-2.834,2.834,1.0,0.0,-4.104,-7.178,-1.029,0.009,-3.311,Vertikale hopp,J,14
Tresteg,tresteg,G13,336,13,-0.942,-4.598,2.715,0.614,-1.179,-4.635,-8.956,-0.313,0.036,-2.726,Horisontale hopp,G,13
Tresteg,tresteg,G14,388,14,-5.572,-9.204,-1.941,0.003,-5.373,-5.493,-9.286,-1.7,0.005,-4.887,Horisontale hopp,G,14
Tresteg,tresteg,J13,462,13,-2.341,-5.298,0.615,0.121,-2.446,0.56,-2.357,3.477,0.707,-0.02,Horisontale hopp,J,13
Tresteg,tresteg,J14,479,14,-1.985,-4.946,0.977,0.19,-3.706,-1.854,-4.829,1.121,0.222,-1.93,Horisontale hopp,J,14
Stav,stav,G13,187,14,-0.002,-7.908,7.903,1.0,-2.538,-9.641,-21.862,2.58,0.124,-5.436,Vertikale hopp,G,13
Stav,stav,G14,205,14,4.505,-4.223,13.234,0.313,0.0,-5.111,-16.3,6.079,0.372,-3.425,Vertikale hopp,G,14
Stav,stav,J13,200,14,0.0,-9.175,9.175,1.0,0.0,4.686,-5.192,14.564,0.354,5.172,Vertikale hopp,J,13
Stav,stav,J14,223,14,-0.0,-7.852,7.852,1.0,0.0,8.19,-0.258,16.637,0.059,4.8,Vertikale hopp,J,14
Kule,kule_3kg,G13,501,14,-8.228,-14.337,-2.119,0.009,-6.513,-8.581,-14.529,-2.634,0.005,-5.125,Kast,G,13
Kule,kule_4kg,G14,453,14,-5.031,-10.921,0.859,0.095,-4.309,-16.57,-22.04,-11.1,0.0,-15.489,Kast,G,14
Kule,kule_2kg,J13,621,14,-6.671,-11.182,-2.161,0.004,-3.931,-1.712,-5.906,2.482,0.424,-3.102,Kast,J,13
Kule,kule_3kg,J14,536,14,-5.176,-10.352,-0.0,0.05,-4.534,-5.98,-11.982,0.021,0.051,-4.762,Kast,J,14
Spyd,spyd_400g,G13,482,14,-16.386,-24.393,-8.38,0.0,-12.622,-13.566,-20.121,-7.012,0.0,-12.059,Kast,G,13
Spyd,spyd_600g,G14,441,14,-16.372,-24.7,-8.044,0.0,-11.901,-11.512,-20.289,-2.734,0.01,-11.585,Kast,G,14
Spyd,spyd_400g,J13,477,14,-13.735,-22.427,-5.043,0.002,-14.097,-14.975,-23.804,-6.146,0.001,-13.52,Kast,J,13
Spyd,spyd_400g,J14,479,14,-17.414,-26.586,-8.241,0.0,-16.653,-13.087,-22.159,-4.015,0.005,-12.366,Kast,J,14
Diskos,diskos_750g,G13,391,14,-10.672,-19.729,-1.615,0.021,-9.896,-14.376,-25.527,-3.225,0.012,-11.49,Kast,G,13
Diskos,diskos_1kg,G14,388,14,-5.105,-14.018,3.808,0.262,-6.836,-14.175,-24.772,-3.578,0.009,-16.467,Kast,G,14
Diskos,diskos_600g,J13,403,14,-7.539,-15.569,0.49,0.066,-6.305,-12.332,-23.193,-1.47,0.027,-11.598,Kast,J,13
Diskos,diskos_750g,J14,420,14,-6.866,-15.74,2.008,0.13,-6.368,-8.393,-19.654,2.868,0.145,-12.189,Kast,J,14
Slegge,slegge_30kg_1195cm,G13,316,14,-14.224,-25.112,-3.337,0.011,-11.825,-6.589,-22.247,9.07,0.41,-2.315,Kast,G,13
Slegge,slegge_40kg/1195cm,G14,327,14,-10.326,-22.111,1.459,0.087,-13.547,-3.835,-18.941,11.272,0.619,-12.106,Kast,G,14
Slegge,slegge_20kg/110cm,J13,399,14,-2.661,-10.693,5.371,0.517,-5.16,0.154,-11.023,11.332,0.978,-5.745,Kast,J,13
Slegge,slegge_30kg_1195cm,J14,396,14,-1.635,-10.385,7.114,0.714,-2.737,-1.132,-14.64,12.377,0.87,-2.954,Kast,J,14
60 m hekk,60mh_76_2cm,G13,364,14,-0.211,-3.603,3.182,0.903,-0.598,0.764,-2.356,3.885,0.631,0.488,Hekk,G,13
60 m hekk,60mh_76_2cm,J13,391,12,-0.792,-4.859,3.275,0.703,-1.647,-2.401,-5.29,0.487,0.104,-1.99,Hekk,J,13
60 m hekk,60mh_76_2cm,J14,406,14,-1.56,-4.333,1.212,0.271,-0.564,-0.769,-3.181,1.643,0.533,-0.833,Hekk,J,14
80 m hekk,80mh_84cm,G14,287,14,1.824,-1.685,5.332,0.309,1.737,0.403,-3.195,4.001,0.827,0.242,Hekk,G,14
200 m hekk,200mh_68cm,G13,344,14,-0.071,-3.026,2.883,0.962,-0.847,-1.214,-4.325,1.898,0.445,-0.989,Hekk,G,13
200 m hekk,200mh_76_2cm,G14,308,14,-0.383,-3.022,2.255,0.776,-0.276,-0.556,-3.137,2.024,0.673,-0.932,Hekk,G,14
200 m hekk,200mh_68cm,J13,393,14,-1.934,-4.106,0.239,0.082,-1.564,1.651,-0.9,4.201,0.205,0.419,Hekk,J,13
200 m hekk,200mh_76_2cm,J14,347,14,-2.449,-5.135,0.237,0.075,-2.373,-1.053,-4.133,2.027,0.503,-0.718,Hekk,J,14
