event,age_class,yr,gender,n_athletes,top10_avg,top10_avg_fmt,rank25_value,rank25_fmt
800m,16 år,2024,F,42,13921.7,2:19.22,15569,2:35.69
800m,16 år,2024,M,54,11820.8,1:58.21,12744,2:07.44
800m,16 år,2025,F,52,14170.9,2:21.71,15436,2:34.36
800m,16 år,2025,M,48,11876.7,1:58.77,13015,2:10.15
800m,17 år,2013,F,42,13610.6,2:16.11,14493,2:24.93
800m,17 år,2013,M,63,11493.0,1:54.93,12299,2:02.99
800m,17 år,2014,F,48,13720.3,2:17.20,14846,2:28.46
800m,17 år,2014,M,48,11539.0,1:55.39,12499,2:04.99
800m,17 år,2015,F,28,13890.3,2:18.90,17445,2:54.45
800m,17 år,2015,M,55,11899.7,1:59.00,12556,2:05.56
800m,17 år,2016,F,43,13452.1,2:14.52,14948,2:29.48
800m,17 år,2016,M,72,11760.6,1:57.61,12393,2:03.93
800m,17 år,2017,F,34,13353.2,2:13.53,15495,2:34.95
800m,17 år,2017,M,56,11653.3,1:56.53,12522,2:05.22
800m,17 år,2018,F,23,13715.1,2:17.15,,
800m,17 år,2018,M,54,11819.8,1:58.20,13125,2:11.25
800m,17 år,2019,F,39,13439.5,2:14.40,15901,2:39.01
800m,17 år,2019,M,39,11901.7,1:59.02,13223,2:12.23
800m,17 år,2020,F,34,13172.7,2:11.73,15760,2:37.60
800m,17 år,2020,M,41,11615.8,1:56.16,12416,2:04.16
800m,17 år,2021,F,29,13890.4,2:18.90,16470,2:44.70
800m,17 år,2021,M,43,11767.3,1:57.67,12926,2:09.26
800m,17 år,2022,F,20,14182.8,2:21.83,,
800m,17 år,2022,M,43,11857.8,1:58.58,12726,2:07.26
800m,17 år,2023,F,16,13821.1,2:18.21,,
800m,17 år,2023,M,45,11462.5,1:54.62,12441,2:04.41
800m,17 år,2024,F,28,13734.4,2:17.34,17385,2:53.85
800m,17 år,2024,M,49,11524.8,1:55.25,12262,2:02.62
800m,17 år,2025,F,30,13977.7,2:19.78,17825,2:58.25
800m,17 år,2025,M,35,11751.0,1:57.51,12792,2:07.92
800m,18/19 år,2013,F,34,13417.4,2:14.17,15374,2:33.74
800m,18/19 år,2013,M,69,11357.5,1:53.58,11984,1:59.84
800m,18/19 år,2014,F,44,13364.1,2:13.64,14640,2:26.40
800m,18/19 år,2014,M,59,11317.9,1:53.18,12058,2:00.58
800m,18/19 år,2015,F,46,13293.7,2:12.94,14561,2:25.61
800m,18/19 år,2015,M,79,11239.0,1:52.39,11907,1:59.07
800m,18/19 år,2016,F,33,13590.4,2:15.90,14919,2:29.19
800m,18/19 år,2016,M,73,11354.2,1:53.54,12020,2:00.20
800m,18/19 år,2017,F,33,13570.9,2:15.71,14949,2:29.49
800m,18/19 år,2017,M,62,11416.1,1:54.16,12084,2:00.84
800m,18/19 år,2018,F,36,13328.1,2:13.28,14752,2:27.52
800m,18/19 år,2018,M,69,11306.8,1:53.07,11948,1:59.48
800m,18/19 år,2019,F,32,13317.3,2:13.17,15476,2:34.76
800m,18/19 år,2019,M,64,11287.7,1:52.88,11992,1:59.92
800m,18/19 år,2020,F,24,13060.7,2:10.61,,
800m,18/19 år,2020,M,42,11602.7,1:56.03,12496,2:04.96
800m,18/19 år,2021,F,43,12820.4,2:08.20,14223,2:22.23
800m,18/19 år,2021,M,66,11313.9,1:53.14,12000,2:00.00
800m,18/19 år,2022,F,26,13233.1,2:12.33,16181,2:41.81
800m,18/19 år,2022,M,56,11275.8,1:52.76,12031,2:00.31
800m,18/19 år,2023,F,22,13918.1,2:19.18,,
800m,18/19 år,2023,M,48,11724.1,1:57.24,12350,2:03.50
800m,18/19 år,2024,F,27,13268.6,2:12.69,15995,2:39.95
800m,18/19 år,2024,M,77,11310.1,1:53.10,11892,1:58.92
800m,18/19 år,2025,F,29,13521.3,2:15.21,16531,2:45.31
800m,18/19 år,2025,M,69,11216.9,1:52.17,11734,1:57.34
lengde,15 år,2013,F,116,5316.0,5.32,4620,4.62
lengde,15 år,2013,M,105,5959.0,5.96,5350,5.35
lengde,15 år,2014,F,105,5296.0,5.30,4810,4.81
lengde,15 år,2014,M,89,5678.0,5.68,5200,5.20
lengde,15 år,2015,F,104,5132.0,5.13,4650,4.65
lengde,15 år,2015,M,92,5837.0,5.84,5230,5.23
lengde,15 år,2016,F,145,5287.0,5.29,4750,4.75
lengde,15 år,2016,M,110,6109.0,6.11,5320,5.32
lengde,15 år,2017,F,125,5243.0,5.24,4750,4.75
lengde,15 år,2017,M,86,6050.0,6.05,5290,5.29
lengde,15 år,2018,F,138,5463.0,5.46,4800,4.80
lengde,15 år,2018,M,88,6016.0,6.02,5200,5.20
lengde,15 år,2019,F,137,5163.0,5.16,4750,4.75
lengde,15 år,2019,M,94,5895.0,5.89,5220,5.22
lengde,15 år,2020,F,82,5134.0,5.13,4700,4.70
lengde,15 år,2020,M,61,6007.0,6.01,5240,5.24
lengde,15 år,2021,F,89,5199.0,5.20,4440,4.44
lengde,15 år,2021,M,87,5962.0,5.96,5360,5.36
lengde,15 år,2022,F,102,5166.0,5.17,4460,4.46
lengde,15 år,2022,M,98,5956.0,5.96,5230,5.23
lengde,15 år,2023,F,108,5157.0,5.16,4530,4.53
lengde,15 år,2023,M,106,5994.0,5.99,5270,5.27
lengde,15 år,2024,F,89,5069.0,5.07,4530,4.53
lengde,15 år,2024,M,60,5968.0,5.97,5040,5.04
lengde,15 år,2025,F,94,5149.0,5.15,4390,4.39
lengde,15 år,2025,M,96,5731.0,5.73,5010,5.01
lengde,16 år,2013,F,73,5179.0,5.18,4650,4.65
lengde,16 år,2013,M,84,6067.0,6.07,5460,5.46
lengde,16 år,2014,F,66,5204.0,5.20,4640,4.64
lengde,16 år,2014,M,69,6230.0,6.23,5400,5.40
lengde,16 år,2015,F,68,5465.0,5.46,4930,4.93
lengde,16 år,2015,M,65,6003.0,6.00,5400,5.40
lengde,16 år,2016,F,71,5259.0,5.26,4710,4.71
lengde,16 år,2016,M,74,6338.0,6.34,5400,5.40
lengde,16 år,2017,F,70,5480.0,5.48,4770,4.77
lengde,16 år,2017,M,73,6402.0,6.40,5380,5.38
lengde,16 år,2018,F,71,5407.0,5.41,4690,4.69
lengde,16 år,2018,M,53,6093.0,6.09,5360,5.36
lengde,16 år,2019,F,90,5629.0,5.63,4760,4.76
lengde,16 år,2019,M,78,6208.0,6.21,5450,5.45
lengde,16 år,2020,F,55,5241.0,5.24,4640,4.64
lengde,16 år,2020,M,47,6246.0,6.25,5380,5.38
lengde,16 år,2021,F,60,5158.0,5.16,4580,4.58
lengde,16 år,2021,M,48,6371.0,6.37,5430,5.43
lengde,16 år,2022,F,54,5199.0,5.20,4450,4.45
lengde,16 år,2022,M,60,6162.0,6.16,5030,5.03
lengde,16 år,2023,F,72,5305.0,5.30,4340,4.34
lengde,16 år,2023,M,90,6230.0,6.23,5350,5.35
lengde,16 år,2024,F,53,5138.0,5.14,4470,4.47
lengde,16 år,2024,M,58,6304.0,6.30,5150,5.15
lengde,16 år,2025,F,78,5127.0,5.13,4500,4.50
lengde,16 år,2025,M,86,6092.0,6.09,5240,5.24
lengde,17 år,2013,F,35,5330.0,5.33,4470,4.47
lengde,17 år,2013,M,44,6629.0,6.63,5450,5.45
lengde,17 år,2014,F,46,5269.0,5.27,4640,4.64
lengde,17 år,2014,M,52,6254.0,6.25,5310,5.31
lengde,17 år,2015,F,45,5372.0,5.37,4490,4.49
lengde,17 år,2015,M,47,6396.0,6.40,5440,5.44
lengde,17 år,2016,F,46,5668.0,5.67,4790,4.79
lengde,17 år,2016,M,43,6191.0,6.19,5300,5.30
lengde,17 år,2017,F,42,5315.0,5.32,4700,4.70
lengde,17 år,2017,M,40,6372.0,6.37,5510,5.51
lengde,17 år,2018,F,43,5350.0,5.35,4480,4.48
lengde,17 år,2018,M,40,6520.0,6.52,5230,5.23
lengde,17 år,2019,F,45,5433.0,5.43,4550,4.55
lengde,17 år,2019,M,28,6243.0,6.24,4860,4.86
lengde,17 år,2020,F,41,5559.0,5.56,4490,4.49
lengde,17 år,2020,M,34,6415.0,6.42,5240,5.24
lengde,17 år,2021,F,44,5063.0,5.06,4560,4.56
lengde,17 år,2021,M,36,6335.0,6.33,5240,5.24
lengde,17 år,2022,F,31,5250.0,5.25,4390,4.39
lengde,17 år,2022,M,38,6396.0,6.40,5170,5.17
lengde,17 år,2023,F,20,5301.0,5.30,,
lengde,17 år,2023,M,25,6195.0,6.20,3820,3.82
lengde,17 år,2024,F,29,5325.0,5.33,4140,4.14
lengde,17 år,2024,M,40,6618.0,6.62,5070,5.07
lengde,17 år,2025,F,27,5114.0,5.11,3730,3.73
lengde,17 år,2025,M,25,6372.0,6.37,2620,2.62
lengde,18/19 år,2013,F,32,5612.0,5.61,4650,4.65
lengde,18/19 år,2013,M,54,6484.0,6.48,5650,5.65
lengde,18/19 år,2014,F,29,5604.0,5.60,4090,4.09
lengde,18/19 år,2014,M,47,6859.0,6.86,5660,5.66
lengde,18/19 år,2015,F,39,5632.0,5.63,4840,4.84
lengde,18/19 år,2015,M,43,6591.0,6.59,5410,5.41
lengde,18/19 år,2016,F,50,5577.0,5.58,4780,4.78
lengde,18/19 år,2016,M,59,6589.0,6.59,5770,5.77
lengde,18/19 år,2017,F,45,5682.0,5.68,4930,4.93
lengde,18/19 år,2017,M,47,6648.0,6.65,5660,5.66
lengde,18/19 år,2018,F,40,5833.0,5.83,4930,4.93
lengde,18/19 år,2018,M,48,6604.0,6.60,5820,5.82
lengde,18/19 år,2019,F,48,5554.0,5.55,4750,4.75
lengde,18/19 år,2019,M,46,6855.0,6.86,5840,5.84
lengde,18/19 år,2020,F,34,5689.0,5.69,4670,4.67
lengde,18/19 år,2020,M,35,6838.0,6.84,5340,5.34
lengde,18/19 år,2021,F,49,5855.0,5.86,4820,4.82
lengde,18/19 år,2021,M,31,6873.0,6.87,5180,5.18
lengde,18/19 år,2022,F,46,5539.0,5.54,4700,4.70
lengde,18/19 år,2022,M,44,6845.0,6.84,5480,5.48
lengde,18/19 år,2023,F,42,5492.0,5.49,4740,4.74
lengde,18/19 år,2023,M,39,6699.0,6.70,5670,5.67
lengde,18/19 år,2024,F,35,5527.0,5.53,4520,4.52
lengde,18/19 år,2024,M,41,6713.0,6.71,5770,5.77
lengde,18/19 år,2025,F,23,5623.0,5.62,,
lengde,18/19 år,2025,M,34,6629.0,6.63,5470,5.47
hoyde,15 år,2013,F,49,1545.0,1.54,1400,1.40
hoyde,15 år,2013,M,48,1750.0,1.75,1500,1.50
hoyde,15 år,2014,F,60,1586.0,1.59,1400,1.40
hoyde,15 år,2014,M,38,1735.0,1.74,1450,1.45
hoyde,15 år,2015,F,66,1582.0,1.58,1400,1.40
hoyde,15 år,2015,M,79,1711.0,1.71,1500,1.50
hoyde,15 år,2016,F,71,1602.0,1.60,1400,1.40
hoyde,15 år,2016,M,78,1673.0,1.67,1530,1.53
hoyde,15 år,2017,F,65,1551.0,1.55,1400,1.40
hoyde,15 år,2017,M,72,1734.0,1.73,1500,1.50
hoyde,15 år,2018,F,87,1618.0,1.62,1450,1.45
hoyde,15 år,2018,M,80,1735.0,1.74,1550,1.55
hoyde,15 år,2019,F,64,1558.0,1.56,1350,1.35
hoyde,15 år,2019,M,71,1746.0,1.75,1550,1.55
hoyde,15 år,2020,F,29,1518.0,1.52,1250,1.25
hoyde,15 år,2020,M,28,1694.0,1.69,1400,1.40
hoyde,15 år,2021,F,30,1533.0,1.53,1300,1.30
hoyde,15 år,2021,M,42,1724.0,1.72,1550,1.55
hoyde,15 år,2022,F,29,1541.0,1.54,1250,1.25
hoyde,15 år,2022,M,37,1736.0,1.74,1450,1.45
hoyde,15 år,2023,F,50,1536.0,1.54,1320,1.32
hoyde,15 år,2023,M,42,1725.0,1.73,1500,1.50
hoyde,15 år,2024,F,45,1521.0,1.52,1300,1.30
hoyde,15 år,2024,M,40,1713.0,1.71,1500,1.50
hoyde,15 år,2025,F,45,1556.0,1.56,1300,1.30
hoyde,15 år,2025,M,46,1650.0,1.65,1500,1.50
hoyde,16 år,2013,F,27,1584.0,1.58,1200,1.20
hoyde,16 år,2013,M,44,1742.0,1.74,1550,1.55
hoyde,16 år,2014,F,37,1596.0,1.60,1400,1.40
hoyde,16 år,2014,M,31,1791.0,1.79,1450,1.45
hoyde,16 år,2015,F,30,1620.0,1.62,1330,1.33
hoyde,16 år,2015,M,36,1779.0,1.78,1500,1.50
hoyde,16 år,2016,F,30,1584.0,1.58,1300,1.30
hoyde,16 år,2016,M,29,1765.0,1.76,1450,1.45
hoyde,16 år,2017,F,43,1610.0,1.61,1400,1.40
hoyde,16 år,2017,M,31,1698.0,1.70,1450,1.45
hoyde,16 år,2018,F,30,1543.0,1.54,1250,1.25
hoyde,16 år,2018,M,35,1728.0,1.73,1450,1.45
hoyde,16 år,2019,F,59,1614.0,1.61,1400,1.40
hoyde,16 år,2019,M,45,1776.0,1.78,1550,1.55
hoyde,16 år,2020,F,22,1567.0,1.57,,
hoyde,16 år,2020,M,22,1768.0,1.77,,
hoyde,16 år,2021,F,18,1537.0,1.54,,
hoyde,16 år,2021,M,22,1775.0,1.77,,
hoyde,16 år,2022,F,16,1503.0,1.50,,
hoyde,16 år,2022,M,20,1802.0,1.80,,
hoyde,16 år,2023,F,28,1524.0,1.52,1220,1.22
hoyde,16 år,2023,M,28,1832.0,1.83,1500,1.50
hoyde,16 år,2024,F,29,1576.0,1.58,1300,1.30
hoyde,16 år,2024,M,28,1772.0,1.77,1400,1.40
hoyde,16 år,2025,F,31,1518.0,1.52,1200,1.20
hoyde,16 år,2025,M,38,1741.0,1.74,1500,1.50
hoyde,17 år,2013,F,16,1577.0,1.58,,
hoyde,17 år,2013,M,26,1868.0,1.87,1200,1.20
hoyde,17 år,2014,F,24,1570.0,1.57,,
hoyde,17 år,2014,M,25,1802.0,1.80,900,0.90
hoyde,17 år,2015,F,27,1611.0,1.61,1200,1.20
hoyde,17 år,2015,M,26,1767.0,1.77,1400,1.40
hoyde,17 år,2016,F,25,1632.0,1.63,1050,1.05
hoyde,17 år,2016,M,22,1826.0,1.83,,
hoyde,17 år,2017,F,18,1576.0,1.58,,
hoyde,17 år,2017,M,24,1823.0,1.82,,
hoyde,17 år,2018,F,20,1559.0,1.56,,
hoyde,17 år,2018,M,21,1753.0,1.75,,
hoyde,17 år,2019,F,17,1563.0,1.56,,
hoyde,17 år,2019,M,14,1769.0,1.77,,
hoyde,17 år,2020,F,26,1625.0,1.62,1200,1.20
hoyde,17 år,2020,M,24,1815.0,1.81,,
hoyde,17 år,2021,F,16,1566.0,1.57,,
hoyde,17 år,2021,M,19,1801.0,1.80,,
hoyde,17 år,2022,F,12,1476.0,1.48,,
hoyde,17 år,2022,M,23,1741.0,1.74,,
hoyde,17 år,2023,F,11,1451.0,1.45,,
hoyde,17 år,2023,M,12,1765.0,1.76,,
hoyde,17 år,2024,F,18,1507.0,1.51,,
hoyde,17 år,2024,M,19,1828.0,1.83,,
hoyde,17 år,2025,F,16,1568.0,1.57,,
hoyde,17 år,2025,M,17,1764.0,1.76,,
hoyde,18/19 år,2013,F,18,1601.0,1.60,,
hoyde,18/19 år,2013,M,26,1868.0,1.87,1250,1.25
hoyde,18/19 år,2014,F,20,1619.0,1.62,,
hoyde,18/19 år,2014,M,35,1926.0,1.93,1600,1.60
hoyde,18/19 år,2015,F,21,1639.0,1.64,,
hoyde,18/19 år,2015,M,27,1873.0,1.87,1450,1.45
hoyde,18/19 år,2016,F,21,1668.0,1.67,,
hoyde,18/19 år,2016,M,26,1815.0,1.81,1350,1.35
hoyde,18/19 år,2017,F,19,1673.0,1.67,,
hoyde,18/19 år,2017,M,23,1872.0,1.87,,
hoyde,18/19 år,2018,F,20,1677.0,1.68,,
hoyde,18/19 år,2018,M,25,1905.0,1.91,1450,1.45
hoyde,18/19 år,2019,F,13,1592.0,1.59,,
hoyde,18/19 år,2019,M,15,1827.0,1.83,,
hoyde,18/19 år,2020,F,11,1565.0,1.56,,
hoyde,18/19 år,2020,M,15,1798.0,1.80,,
hoyde,18/19 år,2021,F,19,1644.0,1.64,,
hoyde,18/19 år,2021,M,19,1878.0,1.88,,
hoyde,18/19 år,2022,F,13,1591.0,1.59,,
hoyde,18/19 år,2022,M,25,1881.0,1.88,1300,1.30
hoyde,18/19 år,2023,F,14,1578.0,1.58,,
hoyde,18/19 år,2023,M,23,1892.0,1.89,,
hoyde,18/19 år,2024,F,13,1589.0,1.59,,
hoyde,18/19 år,2024,M,21,1867.0,1.87,,
hoyde,18/19 år,2025,F,12,1504.0,1.50,,
hoyde,18/19 år,2025,M,27,1884.0,1.88,1510,1.51
