event,yr,gender,n_athletes,top10_avg,top10_avg_fmt,rank25_value,rank25_fmt,best_value,best_fmt
lengde,2016,F,1669,6076.0,6.08,5540,5.54,6530,6.53
lengde,2016,M,1569,7263.0,7.26,6380,6.38,7760,7.76
lengde,2017,F,1602,6002.0,6.00,5540,5.54,6480,6.48
lengde,2017,M,1465,7247.0,7.25,6520,6.52,7740,7.74
lengde,2018,F,1499,6068.0,6.07,5580,5.58,6340,6.34
lengde,2018,M,1405,7304.0,7.30,6510,6.51,7640,7.64
lengde,2019,F,1486,6091.0,6.09,5620,5.62,6340,6.34
lengde,2019,M,1511,7436.0,7.44,6490,6.49,8100,8.10
lengde,2020,F,952,5993.0,5.99,5450,5.45,6330,6.33
lengde,2020,M,953,7414.0,7.41,6510,6.51,7680,7.68
lengde,2021,F,1282,6038.0,6.04,5360,5.36,6350,6.35
lengde,2021,M,1262,7523.0,7.52,6570,6.57,7980,7.98
lengde,2022,F,1238,5986.0,5.99,5480,5.48,6370,6.37
lengde,2022,M,1360,7515.0,7.51,6390,6.39,7890,7.89
lengde,2023,F,1237,6102.0,6.10,5440,5.44,6340,6.34
lengde,2023,M,1274,7577.0,7.58,6420,6.42,8210,8.21
lengde,2024,F,1027,6097.0,6.10,5520,5.52,6740,6.74
lengde,2024,M,1170,7632.5,7.63,6630,6.63,8030,8.03
lengde,2025,F,1118,6246.0,6.25,5440,5.44,6720,6.72
lengde,2025,M,1412,7573.0,7.57,6720,6.72,8060,8.06
hoyde,2013,F,1047,1740.0,1.74,1600,1.60,1920,1.92
hoyde,2013,M,934,2067.0,2.07,1860,1.86,2170,2.17
hoyde,2014,F,1064,1758.0,1.76,1600,1.60,1930,1.93
hoyde,2014,M,865,2073.0,2.07,1860,1.86,2170,2.17
hoyde,2015,F,995,1771.0,1.77,1640,1.64,1900,1.90
hoyde,2015,M,998,2037.0,2.04,1860,1.86,2150,2.15
hoyde,2016,F,1043,1780.0,1.78,1650,1.65,1930,1.93
hoyde,2016,M,983,2028.0,2.03,1860,1.86,2090,2.09
hoyde,2017,F,957,1768.0,1.77,1650,1.65,1900,1.90
hoyde,2017,M,936,2011.0,2.01,1820,1.82,2100,2.10
hoyde,2018,F,840,1771.0,1.77,1650,1.65,1910,1.91
hoyde,2018,M,889,2012.0,2.01,1840,1.84,2080,2.08
hoyde,2019,F,835,1769.0,1.77,1610,1.61,1910,1.91
hoyde,2019,M,869,1970.0,1.97,1770,1.77,2080,2.08
hoyde,2020,F,457,1752.0,1.75,1600,1.60,1820,1.82
hoyde,2020,M,518,1996.0,2.00,1790,1.79,2100,2.10
hoyde,2021,F,586,1750.0,1.75,1600,1.60,1790,1.79
hoyde,2021,M,642,1997.0,2.00,1800,1.80,2100,2.10
hoyde,2022,F,621,1749.0,1.75,1560,1.56,1830,1.83
hoyde,2022,M,705,1998.0,2.00,1800,1.80,2170,2.17
hoyde,2023,F,631,1700.0,1.70,1550,1.55,1760,1.76
hoyde,2023,M,681,2018.0,2.02,1810,1.81,2180,2.18
hoyde,2024,F,685,1719.0,1.72,1580,1.58,1750,1.75
hoyde,2024,M,769,2045.0,2.04,1820,1.82,2170,2.17
hoyde,2025,F,631,1726.0,1.73,1580,1.58,1840,1.84
hoyde,2025,M,772,2024.0,2.02,1830,1.83,2200,2.20
