event,yr,gender,n_athletes,top10_avg,top10_avg_fmt,rank25_value,rank25_fmt,best_value,best_fmt
3000m,2021,F,16,64375.7,10:43.76,,,59389,9:53.89
3000m,2021,M,44,54791.4,9:07.91,61396,10:13.96,50721,8:27.21
3000m,2022,F,21,63781.7,10:37.82,,,60164,10:01.64
3000m,2022,M,34,55195.0,9:11.95,66577,11:05.77,50949,8:29.49
3000m,2023,F,12,67303.1,11:13.03,,,60492,10:04.92
3000m,2023,M,32,56477.6,9:24.78,69394,11:33.94,53624,8:56.24
3000m,2024,F,11,69522.9,11:35.23,,,59919,9:59.19
3000m,2024,M,26,55882.5,9:18.83,71800,11:58.00,52913,8:49.13
3000m,2025,F,12,69079.1,11:30.79,,,57843,9:38.43
3000m,2025,M,25,59786.7,9:57.87,105939,17:39.39,55597,9:15.97
lengde,2013,F,116,5316.0,5.32,4620,4.62,5570,5.57
lengde,2013,M,105,5959.0,5.96,5350,5.35,6320,6.32
lengde,2014,F,105,5296.0,5.30,4810,4.81,5550,5.55
lengde,2014,M,89,5678.0,5.68,5200,5.20,5880,5.88
lengde,2015,F,104,5132.0,5.13,4650,4.65,5510,5.51
lengde,2015,M,92,5837.0,5.84,5230,5.23,6260,6.26
lengde,2016,F,145,5287.0,5.29,4750,4.75,5540,5.54
lengde,2016,M,110,6109.0,6.11,5320,5.32,6590,6.59
lengde,2017,F,125,5243.0,5.24,4750,4.75,5540,5.54
lengde,2017,M,86,6050.0,6.05,5290,5.29,6250,6.25
lengde,2018,F,138,5463.0,5.46,4800,4.80,5990,5.99
lengde,2018,M,88,6016.0,6.02,5200,5.20,6530,6.53
lengde,2019,F,137,5163.0,5.16,4750,4.75,5570,5.57
lengde,2019,M,94,5895.0,5.89,5220,5.22,6080,6.08
lengde,2020,F,82,5134.0,5.13,4700,4.70,5450,5.45
lengde,2020,M,61,6007.0,6.01,5240,5.24,6850,6.85
lengde,2021,F,89,5199.0,5.20,4440,4.44,5480,5.48
lengde,2021,M,87,5962.0,5.96,5360,5.36,6290,6.29
lengde,2022,F,102,5166.0,5.17,4460,4.46,5590,5.59
lengde,2022,M,98,5956.0,5.96,5230,5.23,6650,6.65
lengde,2023,F,108,5157.0,5.16,4530,4.53,5400,5.40
lengde,2023,M,106,5994.0,5.99,5270,5.27,6530,6.53
lengde,2024,F,89,5069.0,5.07,4530,4.53,5580,5.58
lengde,2024,M,60,5968.0,5.97,5040,5.04,6640,6.64
lengde,2025,F,94,5149.0,5.15,4390,4.39,5580,5.58
lengde,2025,M,96,5731.0,5.73,5010,5.01,6210,6.21
hoyde,2013,F,49,1545.0,1.54,1400,1.40,1650,1.65
hoyde,2013,M,48,1750.0,1.75,1500,1.50,1810,1.81
hoyde,2014,F,60,1586.0,1.59,1400,1.40,1660,1.66
hoyde,2014,M,38,1735.0,1.74,1450,1.45,1810,1.81
hoyde,2015,F,66,1582.0,1.58,1400,1.40,1670,1.67
hoyde,2015,M,79,1711.0,1.71,1500,1.50,1920,1.92
hoyde,2016,F,71,1602.0,1.60,1400,1.40,1660,1.66
hoyde,2016,M,78,1673.0,1.67,1530,1.53,1900,1.90
hoyde,2017,F,65,1551.0,1.55,1400,1.40,1630,1.63
hoyde,2017,M,72,1734.0,1.73,1500,1.50,1880,1.88
hoyde,2018,F,87,1618.0,1.62,1450,1.45,1720,1.72
hoyde,2018,M,80,1735.0,1.74,1550,1.55,1880,1.88
hoyde,2019,F,64,1558.0,1.56,1350,1.35,1720,1.72
hoyde,2019,M,71,1746.0,1.75,1550,1.55,1840,1.84
hoyde,2020,F,29,1518.0,1.52,1250,1.25,1620,1.62
hoyde,2020,M,28,1694.0,1.69,1400,1.40,1850,1.85
hoyde,2021,F,30,1533.0,1.53,1300,1.30,1600,1.60
hoyde,2021,M,42,1724.0,1.72,1550,1.55,1840,1.84
hoyde,2022,F,29,1541.0,1.54,1250,1.25,1630,1.63
hoyde,2022,M,37,1736.0,1.74,1450,1.45,1900,1.90
hoyde,2023,F,50,1536.0,1.54,1320,1.32,1650,1.65
hoyde,2023,M,42,1725.0,1.73,1500,1.50,1940,1.94
hoyde,2024,F,45,1521.0,1.52,1300,1.30,1610,1.61
hoyde,2024,M,40,1713.0,1.71,1500,1.50,1880,1.88
hoyde,2025,F,45,1556.0,1.56,1300,1.30,1660,1.66
hoyde,2025,M,46,1650.0,1.65,1500,1.50,1700,1.70
