family,event,implement,age_class,yr,gender,n_athletes,top10_avg,top10_avg_fmt,rank25_value
Kule,kule_5kg,5kg,17 år,2017,M,33,12720.0,12.72,9260
Kule,kule_5kg,5kg,17 år,2018,M,27,13377.0,13.38,8060
Kule,kule_5kg,5kg,17 år,2019,M,23,12442.0,12.44,
Kule,kule_5kg,5kg,17 år,2020,M,25,14698.0,14.70,7450
Kule,kule_5kg,5kg,17 år,2021,M,32,14197.0,14.20,9050
Kule,kule_5kg,5kg,17 år,2022,M,28,13568.0,13.57,8100
Kule,kule_5kg,5kg,17 år,2023,M,23,14223.0,14.22,
Kule,kule_5kg,5kg,17 år,2024,M,26,12230.0,12.23,6830
Kule,kule_5kg,5kg,17 år,2025,M,19,12902.0,12.90,
Kule,kule_6kg,6kg,18/19 år,2013,M,32,13961.0,13.96,7930
Kule,kule_6kg,6kg,18/19 år,2014,M,31,13851.0,13.85,8960
Kule,kule_6kg,6kg,18/19 år,2015,M,22,13194.0,13.19,
Kule,kule_6kg,6kg,18/19 år,2016,M,28,14697.0,14.70,8050
Kule,kule_6kg,6kg,18/19 år,2017,M,29,14600.0,14.60,7300
Kule,kule_6kg,6kg,18/19 år,2018,M,31,13603.0,13.60,9060
Kule,kule_6kg,6kg,18/19 år,2019,M,34,13321.0,13.32,8660
Kule,kule_6kg,6kg,18/19 år,2020,M,23,12728.0,12.73,
Kule,kule_6kg,6kg,18/19 år,2021,M,24,14942.0,14.94,
Kule,kule_6kg,6kg,18/19 år,2022,M,28,15854.0,15.85,8410
Kule,kule_6kg,6kg,18/19 år,2023,M,32,14703.0,14.70,8990
Kule,kule_6kg,6kg,18/19 år,2024,M,23,14394.0,14.39,
Kule,kule_6kg,6kg,18/19 år,2025,M,33,14324.0,14.32,8480
Kule,kule_7_26kg,"7,26kg",Senior,2013,M,63,14785.0,14.79,11040
Kule,kule_7_26kg,"7,26kg",Senior,2014,M,57,14444.0,14.44,10610
Kule,kule_7_26kg,"7,26kg",Senior,2015,M,72,14868.0,14.87,10670
Kule,kule_7_26kg,"7,26kg",Senior,2016,M,46,15255.0,15.26,9830
Kule,kule_7_26kg,"7,26kg",Senior,2017,M,53,14930.0,14.93,9350
Kule,kule_7_26kg,"7,26kg",Senior,2018,M,53,15391.0,15.39,9710
Kule,kule_7_26kg,"7,26kg",Senior,2019,M,48,15406.0,15.41,9570
Kule,kule_7_26kg,"7,26kg",Senior,2020,M,43,15591.0,15.59,10090
Kule,kule_7_26kg,"7,26kg",Senior,2021,M,41,15262.0,15.26,9210
Kule,kule_7_26kg,"7,26kg",Senior,2022,M,44,15403.0,15.40,9600
Kule,kule_7_26kg,"7,26kg",Senior,2023,M,51,15198.0,15.20,9440
Kule,kule_7_26kg,"7,26kg",Senior,2024,M,50,15965.0,15.96,10280
Kule,kule_7_26kg,"7,26kg",Senior,2025,M,54,15441.0,15.44,10950
Spyd,spyd_400g,400g,13 år,2013,F,131,32511.0,32.51,23910
Spyd,spyd_400g,400g,13 år,2014,F,127,32432.0,32.43,23690
Spyd,spyd_400g,400g,13 år,2015,F,134,33374.0,33.37,23540
Spyd,spyd_400g,400g,13 år,2016,F,184,33735.0,33.73,23990
Spyd,spyd_400g,400g,13 år,2017,F,145,30794.0,30.79,23770
Spyd,spyd_400g,400g,13 år,2018,F,119,32110.0,32.11,21670
Spyd,spyd_400g,400g,13 år,2019,F,86,31229.0,31.23,20760
Spyd,spyd_400g,400g,13 år,2020,F,69,29106.0,29.11,19950
Spyd,spyd_400g,400g,13 år,2021,F,70,27893.0,27.89,18440
Spyd,spyd_400g,400g,13 år,2022,F,102,27970.0,27.97,20960
Spyd,spyd_400g,400g,13 år,2023,F,79,28027.0,28.03,19590
Spyd,spyd_400g,400g,13 år,2024,F,96,26776.0,26.78,19790
Spyd,spyd_400g,400g,13 år,2025,F,98,28212.0,28.21,19920
Spyd,spyd_500g,500g,15 år,2013,F,7,24787.1,24.79,
Spyd,spyd_500g,500g,15 år,2014,F,45,36973.0,36.97,23030
Spyd,spyd_500g,500g,15 år,2015,F,50,36193.0,36.19,23300
Spyd,spyd_500g,500g,15 år,2016,F,65,35613.0,35.61,24990
Spyd,spyd_500g,500g,15 år,2017,F,76,36365.0,36.37,24730
Spyd,spyd_500g,500g,15 år,2018,F,82,36917.0,36.92,26860
Spyd,spyd_500g,500g,15 år,2019,F,70,33282.0,33.28,24270
Spyd,spyd_500g,500g,15 år,2020,F,42,37881.0,37.88,22070
Spyd,spyd_500g,500g,15 år,2021,F,22,35868.0,35.87,
Spyd,spyd_500g,500g,15 år,2022,F,43,34037.0,34.04,20120
Spyd,spyd_500g,500g,15 år,2023,F,49,34812.0,34.81,21340
Spyd,spyd_500g,500g,15 år,2024,F,66,31247.0,31.25,22680
Spyd,spyd_500g,500g,15 år,2025,F,39,31706.0,31.71,19760
Spyd,spyd_500g,500g,17 år,2013,F,16,36174.0,36.17,
Spyd,spyd_500g,500g,17 år,2014,F,23,36746.0,36.75,
Spyd,spyd_500g,500g,17 år,2015,F,18,39697.0,39.70,
Spyd,spyd_500g,500g,17 år,2016,F,28,40449.0,40.45,19750
Spyd,spyd_500g,500g,17 år,2017,F,26,36618.0,36.62,16460
Spyd,spyd_500g,500g,17 år,2018,F,28,37451.0,37.45,18510
Spyd,spyd_500g,500g,17 år,2019,F,32,38742.0,38.74,18410
Spyd,spyd_500g,500g,17 år,2020,F,30,39705.0,39.70,24850
Spyd,spyd_500g,500g,17 år,2021,F,28,34188.0,34.19,15790
Spyd,spyd_500g,500g,17 år,2022,F,20,39347.0,39.35,
Spyd,spyd_500g,500g,17 år,2023,F,17,31404.0,31.40,
Spyd,spyd_500g,500g,17 år,2024,F,21,34734.0,34.73,
Spyd,spyd_500g,500g,17 år,2025,F,14,34540.0,34.54,
Spyd,spyd_600g,600g,18/19 år,2013,F,31,44150.0,44.15,22050
Spyd,spyd_600g,600g,18/19 år,2014,F,28,45044.0,45.04,17160
Spyd,spyd_600g,600g,18/19 år,2015,F,30,41834.0,41.83,22640
Spyd,spyd_600g,600g,18/19 år,2016,F,26,39717.0,39.72,18250
Spyd,spyd_600g,600g,18/19 år,2017,F,32,44476.0,44.48,17880
Spyd,spyd_600g,600g,18/19 år,2018,F,31,41972.0,41.97,19180
Spyd,spyd_600g,600g,18/19 år,2019,F,33,39601.0,39.60,22710
Spyd,spyd_600g,600g,18/19 år,2020,F,30,36960.0,36.96,18270
Spyd,spyd_600g,600g,18/19 år,2021,F,33,36070.0,36.07,21450
Spyd,spyd_600g,600g,18/19 år,2022,F,32,38568.0,38.57,18260
Spyd,spyd_600g,600g,18/19 år,2023,F,28,40169.0,40.17,19020
Spyd,spyd_600g,600g,18/19 år,2024,F,27,39970.0,39.97,14770
Spyd,spyd_600g,600g,18/19 år,2025,F,23,35547.0,35.55,
Spyd,spyd_600g,600g,Senior,2013,F,36,48049.0,48.05,27440
Spyd,spyd_600g,600g,Senior,2014,F,28,48963.0,48.96,17350
Spyd,spyd_600g,600g,Senior,2015,F,43,50773.0,50.77,32380
Spyd,spyd_600g,600g,Senior,2016,F,40,50302.0,50.30,27850
Spyd,spyd_600g,600g,Senior,2017,F,38,50247.0,50.25,32880
Spyd,spyd_600g,600g,Senior,2018,F,35,52618.0,52.62,29960
Spyd,spyd_600g,600g,Senior,2019,F,30,53838.0,53.84,29860
Spyd,spyd_600g,600g,Senior,2020,F,34,49753.0,49.75,24870
Spyd,spyd_600g,600g,Senior,2021,F,36,53769.0,53.77,30910
Spyd,spyd_600g,600g,Senior,2022,F,32,52103.0,52.10,21490
Spyd,spyd_600g,600g,Senior,2023,F,43,51693.0,51.69,29760
Spyd,spyd_600g,600g,Senior,2024,F,38,52091.0,52.09,28180
Spyd,spyd_600g,600g,Senior,2025,F,36,49947.0,49.95,27020
Spyd,spyd_400g,400g,13 år,2013,M,145,40473.0,40.47,33940
Spyd,spyd_400g,400g,13 år,2014,M,132,42044.0,42.04,32500
Spyd,spyd_400g,400g,13 år,2015,M,126,39803.0,39.80,30350
Spyd,spyd_400g,400g,13 år,2016,M,122,38993.0,38.99,28750
Spyd,spyd_400g,400g,13 år,2017,M,130,40704.0,40.70,28890
Spyd,spyd_400g,400g,13 år,2018,M,96,36304.0,36.30,27390
Spyd,spyd_400g,400g,13 år,2019,M,114,35795.0,35.80,27780
Spyd,spyd_400g,400g,13 år,2020,M,67,36394.0,36.39,24330
Spyd,spyd_400g,400g,13 år,2021,M,95,32889.0,32.89,25250
Spyd,spyd_400g,400g,13 år,2022,M,96,34164.0,34.16,26060
Spyd,spyd_400g,400g,13 år,2023,M,81,35096.0,35.10,25210
Spyd,spyd_400g,400g,13 år,2024,M,88,34296.0,34.30,26010
Spyd,spyd_400g,400g,13 år,2025,M,91,36175.0,36.17,26800
Spyd,spyd_600g,600g,15 år,2013,M,65,50404.0,50.40,35610
Spyd,spyd_600g,600g,15 år,2014,M,48,46690.0,46.69,29500
Spyd,spyd_600g,600g,15 år,2015,M,63,49600.0,49.60,36010
Spyd,spyd_600g,600g,15 år,2016,M,66,50961.0,50.96,31440
Spyd,spyd_600g,600g,15 år,2017,M,61,48119.0,48.12,32590
Spyd,spyd_600g,600g,15 år,2018,M,48,45672.0,45.67,29880
Spyd,spyd_600g,600g,15 år,2019,M,54,50645.0,50.65,33030
Spyd,spyd_600g,600g,15 år,2020,M,42,46255.0,46.26,27610
Spyd,spyd_600g,600g,15 år,2021,M,49,44257.0,44.26,31330
Spyd,spyd_600g,600g,15 år,2022,M,26,42047.0,42.05,17740
Spyd,spyd_600g,600g,15 år,2023,M,46,42046.0,42.05,27540
Spyd,spyd_600g,600g,15 år,2024,M,43,41663.0,41.66,27520
Spyd,spyd_600g,600g,15 år,2025,M,44,43707.0,43.71,26460
Spyd,spyd_700g,700g,17 år,2013,M,40,51906.0,51.91,36560
Spyd,spyd_700g,700g,17 år,2014,M,33,51217.0,51.22,27580
Spyd,spyd_700g,700g,17 år,2015,M,25,54907.0,54.91,21890
Spyd,spyd_700g,700g,17 år,2016,M,31,49490.0,49.49,21920
Spyd,spyd_700g,700g,17 år,2017,M,26,52776.0,52.78,21510
Spyd,spyd_700g,700g,17 år,2018,M,26,54369.0,54.37,26640
Spyd,spyd_700g,700g,17 år,2019,M,25,54730.0,54.73,15610
Spyd,spyd_700g,700g,17 år,2020,M,17,40935.0,40.94,
Spyd,spyd_700g,700g,17 år,2021,M,37,50161.0,50.16,30240
Spyd,spyd_700g,700g,17 år,2022,M,22,48460.0,48.46,
Spyd,spyd_700g,700g,17 år,2023,M,25,46064.0,46.06,13670
Spyd,spyd_700g,700g,17 år,2024,M,27,45278.0,45.28,21210
Spyd,spyd_700g,700g,17 år,2025,M,24,48389.0,48.39,
Spyd,spyd_800g,800g,18/19 år,2013,M,34,58454.0,58.45,35040
Spyd,spyd_800g,800g,18/19 år,2014,M,55,54725.0,54.73,41100
Spyd,spyd_800g,800g,18/19 år,2015,M,32,51936.0,51.94,30550
Spyd,spyd_800g,800g,18/19 år,2016,M,40,56166.0,56.17,31540
Spyd,spyd_800g,800g,18/19 år,2017,M,32,60301.0,60.30,30170
Spyd,spyd_800g,800g,18/19 år,2018,M,31,53939.0,53.94,32060
Spyd,spyd_800g,800g,18/19 år,2019,M,35,56203.0,56.20,31350
Spyd,spyd_800g,800g,18/19 år,2020,M,27,60332.0,60.33,28420
Spyd,spyd_800g,800g,18/19 år,2021,M,26,56656.0,56.66,21660
Spyd,spyd_800g,800g,18/19 år,2022,M,32,48980.0,48.98,26660
Spyd,spyd_800g,800g,18/19 år,2023,M,38,53633.0,53.63,34520
Spyd,spyd_800g,800g,18/19 år,2024,M,28,51036.0,51.04,23580
Spyd,spyd_800g,800g,18/19 år,2025,M,29,52329.0,52.33,26850
Spyd,spyd_800g,800g,Senior,2013,M,68,67275.0,67.28,47720
Spyd,spyd_800g,800g,Senior,2014,M,53,70792.0,70.79,48220
Spyd,spyd_800g,800g,Senior,2015,M,53,66244.0,66.24,43630
Spyd,spyd_800g,800g,Senior,2016,M,49,64552.0,64.55,42580
Spyd,spyd_800g,800g,Senior,2017,M,50,62189.0,62.19,41940
Spyd,spyd_800g,800g,Senior,2018,M,41,65664.0,65.66,38150
Spyd,spyd_800g,800g,Senior,2019,M,47,67647.0,67.65,36090
Spyd,spyd_800g,800g,Senior,2020,M,35,66289.0,66.29,40200
Spyd,spyd_800g,800g,Senior,2021,M,41,64517.0,64.52,38720
Spyd,spyd_800g,800g,Senior,2022,M,46,65765.0,65.77,41990
Spyd,spyd_800g,800g,Senior,2023,M,53,66763.0,66.76,37810
Spyd,spyd_800g,800g,Senior,2024,M,44,67107.0,67.11,38540
Spyd,spyd_800g,800g,Senior,2025,M,50,67665.0,67.67,42730
Diskos,diskos_600g,600g,13 år,2013,F,65,24368.0,24.37,18880
Diskos,diskos_600g,600g,13 år,2014,F,82,28067.0,28.07,20880
Diskos,diskos_600g,600g,13 år,2015,F,67,30485.0,30.48,19540
Diskos,diskos_600g,600g,13 år,2016,F,108,27795.0,27.80,21880
Diskos,diskos_600g,600g,13 år,2017,F,87,27594.0,27.59,20100
Diskos,diskos_600g,600g,13 år,2018,F,75,32315.0,32.31,20480
Diskos,diskos_600g,600g,13 år,2019,F,44,26513.0,26.51,17560
Diskos,diskos_600g,600g,13 år,2020,F,51,26479.0,26.48,16340
Diskos,diskos_600g,600g,13 år,2021,F,45,24028.0,24.03,16340
Diskos,diskos_600g,600g,13 år,2022,F,62,22793.0,22.79,18310
Diskos,diskos_600g,600g,13 år,2023,F,42,25638.0,25.64,17300
Diskos,diskos_600g,600g,13 år,2024,F,55,26014.0,26.01,17480
Diskos,diskos_600g,600g,13 år,2025,F,63,24528.0,24.53,17480
Diskos,diskos_750g,750g,15 år,2013,F,34,32327.0,32.33,18170
Diskos,diskos_750g,750g,15 år,2014,F,34,34158.0,34.16,18520
Diskos,diskos_750g,750g,15 år,2015,F,31,30449.0,30.45,19970
Diskos,diskos_750g,750g,15 år,2016,F,42,33246.0,33.25,20460
Diskos,diskos_750g,750g,15 år,2017,F,42,34812.0,34.81,17000
Diskos,diskos_750g,750g,15 år,2018,F,52,30987.0,30.99,19480
Diskos,diskos_750g,750g,15 år,2019,F,43,32465.0,32.47,21900
Diskos,diskos_750g,750g,15 år,2020,F,30,34022.0,34.02,17500
Diskos,diskos_750g,750g,15 år,2021,F,25,31246.0,31.25,10300
Diskos,diskos_750g,750g,15 år,2022,F,22,31014.0,31.01,
Diskos,diskos_750g,750g,15 år,2023,F,25,27869.0,27.87,9080
Diskos,diskos_750g,750g,15 år,2024,F,49,27441.0,27.44,18940
Diskos,diskos_750g,750g,15 år,2025,F,21,27181.0,27.18,
Diskos,diskos_1kg,1kg,17 år,2013,F,18,31028.0,31.03,
Diskos,diskos_1kg,1kg,17 år,2014,F,17,30258.0,30.26,
Diskos,diskos_1kg,1kg,17 år,2015,F,18,32194.0,32.19,
Diskos,diskos_1kg,1kg,17 år,2016,F,17,30887.0,30.89,
Diskos,diskos_1kg,1kg,17 år,2017,F,21,28802.0,28.80,
Diskos,diskos_1kg,1kg,17 år,2018,F,21,31756.0,31.76,
Diskos,diskos_1kg,1kg,17 år,2019,F,18,34269.0,34.27,
Diskos,diskos_1kg,1kg,17 år,2020,F,30,30052.0,30.05,15310
Diskos,diskos_1kg,1kg,17 år,2021,F,23,32821.0,32.82,
Diskos,diskos_1kg,1kg,17 år,2022,F,15,30404.0,30.40,
Diskos,diskos_1kg,1kg,17 år,2023,F,14,28273.0,28.27,
Diskos,diskos_1kg,1kg,17 år,2024,F,11,25864.0,25.86,
Diskos,diskos_1kg,1kg,17 år,2025,F,12,27585.0,27.59,
Diskos,diskos_1kg,1kg,18/19 år,2013,F,23,35581.0,35.58,
Diskos,diskos_1kg,1kg,18/19 år,2014,F,27,37736.0,37.74,15900
Diskos,diskos_1kg,1kg,18/19 år,2015,F,19,35318.0,35.32,
Diskos,diskos_1kg,1kg,18/19 år,2016,F,19,36342.0,36.34,
Diskos,diskos_1kg,1kg,18/19 år,2017,F,23,31137.0,31.14,
Diskos,diskos_1kg,1kg,18/19 år,2018,F,22,31889.0,31.89,
Diskos,diskos_1kg,1kg,18/19 år,2019,F,19,32926.0,32.93,
Diskos,diskos_1kg,1kg,18/19 år,2020,F,16,38130.0,38.13,
Diskos,diskos_1kg,1kg,18/19 år,2021,F,26,38770.0,38.77,15490
Diskos,diskos_1kg,1kg,18/19 år,2022,F,18,34101.0,34.10,
Diskos,diskos_1kg,1kg,18/19 år,2023,F,25,38991.0,38.99,13320
Diskos,diskos_1kg,1kg,18/19 år,2024,F,16,37099.0,37.10,
Diskos,diskos_1kg,1kg,18/19 år,2025,F,19,33708.0,33.71,
Diskos,diskos_1kg,1kg,Senior,2013,F,26,38372.0,38.37,16980
Diskos,diskos_1kg,1kg,Senior,2014,F,23,39840.0,39.84,
Diskos,diskos_1kg,1kg,Senior,2015,F,34,40157.0,40.16,22460
Diskos,diskos_1kg,1kg,Senior,2016,F,31,42864.0,42.86,23260
Diskos,diskos_1kg,1kg,Senior,2017,F,34,40752.0,40.75,23520
Diskos,diskos_1kg,1kg,Senior,2018,F,37,44019.0,44.02,24490
Diskos,diskos_1kg,1kg,Senior,2019,F,22,43170.0,43.17,
Diskos,diskos_1kg,1kg,Senior,2020,F,27,39752.0,39.75,16070
Diskos,diskos_1kg,1kg,Senior,2021,F,24,42527.0,42.53,
Diskos,diskos_1kg,1kg,Senior,2022,F,31,47246.0,47.25,23820
Diskos,diskos_1kg,1kg,Senior,2023,F,24,43773.0,43.77,
Diskos,diskos_1kg,1kg,Senior,2024,F,33,45530.0,45.53,20350
Diskos,diskos_1kg,1kg,Senior,2025,F,28,45883.0,45.88,14560
Diskos,diskos_750g,750g,13 år,2013,M,82,30945.0,30.95,22160
Diskos,diskos_750g,750g,13 år,2014,M,74,34904.0,34.90,23100
Diskos,diskos_750g,750g,13 år,2015,M,75,32851.0,32.85,22130
Diskos,diskos_750g,750g,13 år,2016,M,66,33335.0,33.34,21690
Diskos,diskos_750g,750g,13 år,2017,M,86,34868.0,34.87,23610
Diskos,diskos_750g,750g,13 år,2018,M,58,30792.0,30.79,21420
Diskos,diskos_750g,750g,13 år,2019,M,68,31892.0,31.89,22510
Diskos,diskos_750g,750g,13 år,2020,M,38,30601.0,30.60,18620
Diskos,diskos_750g,750g,13 år,2021,M,52,29073.0,29.07,17920
Diskos,diskos_750g,750g,13 år,2022,M,66,28988.0,28.99,21900
Diskos,diskos_750g,750g,13 år,2023,M,55,31001.0,31.00,18990
Diskos,diskos_750g,750g,13 år,2024,M,66,29010.0,29.01,20200
Diskos,diskos_750g,750g,13 år,2025,M,66,30097.0,30.10,21600
Diskos,diskos_1kg,1kg,15 år,2013,M,38,45823.0,45.82,24630
Diskos,diskos_1kg,1kg,15 år,2014,M,35,39926.0,39.93,21460
Diskos,diskos_1kg,1kg,15 år,2015,M,38,40959.0,40.96,26850
Diskos,diskos_1kg,1kg,15 år,2016,M,44,40744.0,40.74,27810
Diskos,diskos_1kg,1kg,15 år,2017,M,37,40541.0,40.54,22590
Diskos,diskos_1kg,1kg,15 år,2018,M,40,46906.0,46.91,25700
Diskos,diskos_1kg,1kg,15 år,2019,M,50,46429.0,46.43,28110
Diskos,diskos_1kg,1kg,15 år,2020,M,37,43101.0,43.10,24620
Diskos,diskos_1kg,1kg,15 år,2021,M,42,43089.0,43.09,27010
Diskos,diskos_1kg,1kg,15 år,2022,M,34,38344.0,38.34,20760
Diskos,diskos_1kg,1kg,15 år,2023,M,36,39474.0,39.47,26420
Diskos,diskos_1kg,1kg,15 år,2024,M,37,36720.0,36.72,24150
Diskos,diskos_1kg,1kg,15 år,2025,M,37,41283.0,41.28,24260
Diskos,diskos_1_5kg,"1,5kg",17 år,2013,M,22,38386.0,38.39,
Diskos,diskos_1_5kg,"1,5kg",17 år,2014,M,17,35546.0,35.55,
Diskos,diskos_1_5kg,"1,5kg",17 år,2015,M,21,42946.0,42.95,
Diskos,diskos_1_5kg,"1,5kg",17 år,2016,M,21,37259.0,37.26,
Diskos,diskos_1_5kg,"1,5kg",17 år,2017,M,22,38780.0,38.78,
Diskos,diskos_1_5kg,"1,5kg",17 år,2018,M,21,40337.0,40.34,
Diskos,diskos_1_5kg,"1,5kg",17 år,2019,M,18,37965.0,37.97,
Diskos,diskos_1_5kg,"1,5kg",17 år,2020,M,13,42237.0,42.24,
